지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
90,속초,2010-01-01,-3.1,30.5,
90,속초,2010-01-02,-.4,70.3,
90,속초,2010-01-03,-2.8,33.4,
90,속초,2010-01-04,-2.3,71.3,
90,속초,2010-01-05,-4.6,47.8,
90,속초,2010-01-06,-6.6,40.1,
90,속초,2010-01-07,-3,52.3,
90,속초,2010-01-08,-1.8,41.4,
90,속초,2010-01-09,-.6,43.4,
90,속초,2010-01-10,-.4,51.1,
90,속초,2010-01-11,-.3,41.3,
90,속초,2010-01-12,-5.5,26.4,
90,속초,2010-01-13,-8.5,28.8,
90,속초,2010-01-14,-4.2,28.6,
90,속초,2010-01-15,-1.2,37.1,
90,속초,2010-01-16,-2.1,40,
90,속초,2010-01-17,-.6,36.1,
90,속초,2010-01-18,3.5,50.6,
90,속초,2010-01-19,4.5,59.8,
90,속초,2010-01-20,7.7,89.6,
90,속초,2010-01-21,.8,89.5,
90,속초,2010-01-22,-2.6,39.3,
90,속초,2010-01-23,-1,29.1,
90,속초,2010-01-24,2.1,38.9,
90,속초,2010-01-25,3,25.5,
90,속초,2010-01-26,.1,26.1,
90,속초,2010-01-27,4.4,44.3,
90,속초,2010-01-28,4.6,36.4,
90,속초,2010-01-29,.7,27.1,
90,속초,2010-01-30,3.7,38.1,
90,속초,2010-01-31,4.4,48.5,
90,속초,2010-02-01,.6,76.6,
90,속초,2010-02-02,-1.8,28.5,
90,속초,2010-02-03,-4.2,19.6,
90,속초,2010-02-04,-2.4,23,
90,속초,2010-02-05,-1.9,22.6,
90,속초,2010-02-06,-.6,25.5,
90,속초,2010-02-07,2.7,30.4,
90,속초,2010-02-08,7,53.3,
90,속초,2010-02-09,4.9,67.9,
90,속초,2010-02-10,2.1,92.5,
90,속초,2010-02-11,0,86.3,
90,속초,2010-02-12,-1.8,89.5,
90,속초,2010-02-13,-1.5,91.4,
90,속초,2010-02-14,-.7,58,
90,속초,2010-02-15,-1.2,62.8,
90,속초,2010-02-16,-2.4,81.9,
90,속초,2010-02-17,-2.1,52.1,
90,속초,2010-02-18,-.2,37.6,
90,속초,2010-02-19,.5,39,
90,속초,2010-02-20,1.8,50.8,
90,속초,2010-02-21,1.1,75.5,
90,속초,2010-02-22,6.8,52.4,
90,속초,2010-02-23,5.2,61.1,
90,속초,2010-02-24,9,52.9,
90,속초,2010-02-25,7,84,
90,속초,2010-02-26,4,89.8,
90,속초,2010-02-27,3.7,87,
90,속초,2010-02-28,6.9,68.5,
90,속초,2010-03-01,.5,93.5,
90,속초,2010-03-02,1.8,81.8,
90,속초,2010-03-03,2.9,67.4,
90,속초,2010-03-04,2.1,91,
90,속초,2010-03-05,4.8,84.3,
90,속초,2010-03-06,1.9,89,
90,속초,2010-03-07,.4,91.4,
90,속초,2010-03-08,.5,93.6,
90,속초,2010-03-09,.9,92,
90,속초,2010-03-10,1,77.3,
90,속초,2010-03-11,4.1,45.6,
90,속초,2010-03-12,8.6,46.5,
90,속초,2010-03-13,3.9,39.4,
90,속초,2010-03-14,2.6,76,
90,속초,2010-03-15,4.9,75.6,
90,속초,2010-03-16,3.8,27,
90,속초,2010-03-17,2.5,34.4,
90,속초,2010-03-18,1.5,44.6,
90,속초,2010-03-19,6.2,41.5,
90,속초,2010-03-20,7.4,64.6,
90,속초,2010-03-21,5.5,28.8,
90,속초,2010-03-22,6,45.9,
90,속초,2010-03-23,7.3,56.1,
90,속초,2010-03-24,6.1,68.4,
90,속초,2010-03-25,1.8,87.1,
90,속초,2010-03-26,2.6,44.3,
90,속초,2010-03-27,1.5,83.3,
90,속초,2010-03-28,3.3,76.9,
90,속초,2010-03-29,3.6,66.1,
90,속초,2010-03-30,6.2,65,
90,속초,2010-03-31,8.8,73.5,
90,속초,2010-04-01,10.9,52.6,
90,속초,2010-04-02,8.9,18.8,
90,속초,2010-04-03,6.8,32.5,
90,속초,2010-04-04,9,41.9,
90,속초,2010-04-05,9.6,50.3,
90,속초,2010-04-06,4.9,83.9,
90,속초,2010-04-07,5.1,69,
90,속초,2010-04-08,7.7,67.3,
90,속초,2010-04-09,13.2,41.6,
90,속초,2010-04-10,12.6,56.1,
90,속초,2010-04-11,8.7,76.6,
90,속초,2010-04-12,9,83.3,
90,속초,2010-04-13,7.1,44.6,
90,속초,2010-04-14,5.8,22.6,
90,속초,2010-04-15,6.3,37.3,
90,속초,2010-04-16,6.9,53.1,
90,속초,2010-04-17,8.6,51.9,
90,속초,2010-04-18,8.4,76.6,
90,속초,2010-04-19,9.8,77.5,
90,속초,2010-04-20,8.4,86.8,
90,속초,2010-04-21,8.4,86.5,
90,속초,2010-04-22,8.1,86.4,
90,속초,2010-04-23,7.5,78.8,
90,속초,2010-04-24,10.9,56.3,
90,속초,2010-04-25,15.5,30.6,
90,속초,2010-04-26,12.3,66.5,
90,속초,2010-04-27,11.3,58.3,
90,속초,2010-04-28,8.6,50.3,
90,속초,2010-04-29,11.3,37.3,
90,속초,2010-04-30,12.7,36,
90,속초,2010-05-01,16.3,29.8,
90,속초,2010-05-02,21.5,22.6,
90,속초,2010-05-03,22.3,44.5,
90,속초,2010-05-04,19.4,55.4,
90,속초,2010-05-05,18.9,54.6,
90,속초,2010-05-06,19.3,46.9,
90,속초,2010-05-07,20.2,26.3,
90,속초,2010-05-08,17.4,38.3,
90,속초,2010-05-09,12.1,77.3,
90,속초,2010-05-10,12.8,79,
90,속초,2010-05-11,8.7,89.4,
90,속초,2010-05-12,10.7,75.4,
90,속초,2010-05-13,11.8,81.1,
90,속초,2010-05-14,13,66.1,
90,속초,2010-05-15,16.3,52.8,
90,속초,2010-05-16,18.9,45.1,
90,속초,2010-05-17,17.8,60,
90,속초,2010-05-18,14.4,94.3,
90,속초,2010-05-19,19,62.3,
90,속초,2010-05-20,26,24.9,
90,속초,2010-05-21,21.9,45.3,
90,속초,2010-05-22,19.9,56.6,
90,속초,2010-05-23,13.2,93,
90,속초,2010-05-24,12.2,84.5,
90,속초,2010-05-25,13.1,83,
90,속초,2010-05-26,11.8,80.1,
90,속초,2010-05-27,12.9,73.9,
90,속초,2010-05-28,13.2,79.8,
90,속초,2010-05-29,13.8,83,
90,속초,2010-05-30,13.5,80.8,
90,속초,2010-05-31,12.4,81.5,
90,속초,2010-06-01,13.1,67.5,
90,속초,2010-06-02,14,71.3,
90,속초,2010-06-03,16.3,67,
90,속초,2010-06-04,19.8,63.9,
90,속초,2010-06-05,19.9,63.5,
90,속초,2010-06-06,18.8,75.3,
90,속초,2010-06-07,17.7,81.8,
90,속초,2010-06-08,16,84,
90,속초,2010-06-09,18.5,70.9,
90,속초,2010-06-10,19.3,66.6,
90,속초,2010-06-11,17.5,84.3,
90,속초,2010-06-12,17.4,90.3,
90,속초,2010-06-13,19.3,83.9,
90,속초,2010-06-14,19.8,84,
90,속초,2010-06-15,20.7,84.3,
90,속초,2010-06-16,22.9,70.5,
90,속초,2010-06-17,24.7,59.6,
90,속초,2010-06-18,22.4,80.8,
90,속초,2010-06-19,21.5,87.8,
90,속초,2010-06-20,23.5,72.9,
90,속초,2010-06-21,22.6,77,
90,속초,2010-06-22,22.4,58.3,
90,속초,2010-06-23,20.5,56.6,
90,속초,2010-06-24,22,60.5,
90,속초,2010-06-25,22.5,66.4,
90,속초,2010-06-26,20.5,84.4,
90,속초,2010-06-27,20.9,88.9,
90,속초,2010-06-28,23.3,72.8,
90,속초,2010-06-29,22.7,82.5,
90,속초,2010-06-30,22.5,89.1,
90,속초,2010-07-01,23.6,86.3,
90,속초,2010-07-02,22.2,94.3,
90,속초,2010-07-03,21.5,96.3,
90,속초,2010-07-04,21.9,92.3,
90,속초,2010-07-05,22.2,88.8,
90,속초,2010-07-06,22.6,85.4,
90,속초,2010-07-07,20.9,89.4,
90,속초,2010-07-08,21.1,86.5,
