지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2018-01-01,1,,21.3,,,,,,
90,속초,2018-01-02,1.5,,21.8,,,,,,
90,속초,2018-01-03,-1.6,,29.9,,,,,,
90,속초,2018-01-04,-1,,53.3,,,,,,
90,속초,2018-01-05,1.5,,45.4,,,,,,
90,속초,2018-01-06,.8,,32.4,,,,,,
90,속초,2018-01-07,2.2,,50.1,,,,,,
90,속초,2018-01-08,4,1.1,48.9,,,,,,
90,속초,2018-01-09,-3.1,.4,40.1,,,,,,
90,속초,2018-01-10,-6.4,,32,,,,,,
90,속초,2018-01-11,-8.6,,34.1,,,,,,
90,속초,2018-01-12,-7.5,,29,,,,,,
90,속초,2018-01-13,-1.7,,42,,,,,,
90,속초,2018-01-14,2.3,,47.1,,,,,,
90,속초,2018-01-15,7.4,,45.1,,,,,,
90,속초,2018-01-16,6.6,,47.3,,,,,,
90,속초,2018-01-17,5.1,,70.5,,,,,,
90,속초,2018-01-18,5.2,,31.9,,,,,,
90,속초,2018-01-19,3.1,,25.8,,,,,,
90,속초,2018-01-20,4.2,,41.4,,,,,,
90,속초,2018-01-21,2.1,,31.8,,,,,,
90,속초,2018-01-22,0,2.4,66.6,,,,,,
90,속초,2018-01-23,-9,,30.3,,,,,,
90,속초,2018-01-24,-12.3,,23.5,,,,,,
90,속초,2018-01-25,-10.8,,28,,,,,,
90,속초,2018-01-26,-10.4,,25.3,,,,,,
90,속초,2018-01-27,-4.7,,28.9,,,,,,
90,속초,2018-01-28,-2.5,,22.3,,,,,,
90,속초,2018-01-29,-6.7,,23.3,,,,,,
90,속초,2018-01-30,-3.3,,34.4,,,,,,
90,속초,2018-01-31,-.4,,31.5,,,,,,
90,속초,2018-02-01,-2.7,,40.3,,,,,,
90,속초,2018-02-02,-.5,,58.3,,,,,,
90,속초,2018-02-03,-3.4,,33.8,,,,,,
90,속초,2018-02-04,-6.5,,31,,,,,,
90,속초,2018-02-05,-8,,26,,,,,,
90,속초,2018-02-06,-8.8,,28.6,,,,,,
90,속초,2018-02-07,-5.2,,26.8,,,,,,
90,속초,2018-02-08,-1.4,,23,,,,,,
90,속초,2018-02-09,2.9,,40.6,,,,,,
90,속초,2018-02-10,2.6,,30.6,,,,,,
90,속초,2018-02-11,-5.3,,19.8,,,,,,
90,속초,2018-02-12,-4.9,,24.9,,,,,,
90,속초,2018-02-13,.1,,33.3,,,,,,
90,속초,2018-02-14,6.5,,37.5,,,,,,
90,속초,2018-02-15,0,,41.6,,,,,,
90,속초,2018-02-16,1.8,,32.1,,,,,,
90,속초,2018-02-17,-.5,,20.6,,,,,,
90,속초,2018-02-18,.1,,33.4,,,,,,
90,속초,2018-02-19,2.8,,46.1,,,,,,
90,속초,2018-02-20,2.9,,30.9,,,,,,
90,속초,2018-02-21,-1.1,,30.5,,,,,,
90,속초,2018-02-22,2.5,,35.9,,,,,,
90,속초,2018-02-23,4.8,0,55,,,,,,
90,속초,2018-02-24,.3,5.4,80.5,,,,,,
90,속초,2018-02-25,.1,,83.3,,,,,,
90,속초,2018-02-26,1.6,,72.6,,,,,,
90,속초,2018-02-27,3.3,,79,,,,,,
90,속초,2018-02-28,3.1,49,96.8,,,,,,
90,속초,2018-03-01,1.1,.6,57.9,,,,,,
90,속초,2018-03-02,1.9,,38.4,,,,,,
90,속초,2018-03-03,9.2,,47.9,,,,,,
90,속초,2018-03-04,9.2,16,78.8,,,,,,
90,속초,2018-03-05,.3,22,82.5,,,,,,
90,속초,2018-03-06,1.1,,77.1,,,,,,
90,속초,2018-03-07,2.5,2.4,84.8,,,,,,
90,속초,2018-03-08,1.6,9.4,90.8,,,,,,
90,속초,2018-03-09,1,0,80.1,,,,,,
90,속초,2018-03-10,4.9,,66.1,,,,,,
90,속초,2018-03-11,4.9,,62.5,,,,,,
90,속초,2018-03-12,8.1,,64.3,,,,,,
90,속초,2018-03-13,17.4,,30.8,,,,,,
90,속초,2018-03-14,16.5,,52.6,,,,,,
90,속초,2018-03-15,13,2.7,69.6,,,,,,
90,속초,2018-03-16,1.4,.1,63.1,,,,,,
90,속초,2018-03-17,4.1,,66,,,,,,
90,속초,2018-03-18,8.2,0,59.9,,,,,,
90,속초,2018-03-19,6.6,1.8,72,,,,,,
90,속초,2018-03-20,2.4,,56.6,,,,,,
90,속초,2018-03-21,1.6,,63.5,,,,,,
90,속초,2018-03-22,3.1,,52.8,,,,,,
90,속초,2018-03-23,7.4,,55.1,,,,,,
90,속초,2018-03-24,12.9,,35.3,,,,,,
90,속초,2018-03-25,17.3,,24,,,,,,
90,속초,2018-03-26,19,,28.9,,,,,,
90,속초,2018-03-27,19.3,,34.3,,,,,,
90,속초,2018-03-28,20.1,,33,,,,,,
90,속초,2018-03-29,11.5,,62,,,,,,
90,속초,2018-03-30,8.9,,77.4,,,,,,
90,속초,2018-03-31,12.7,,66.8,,,,,,
90,속초,2018-04-01,17.4,,51.3,,,,,,
90,속초,2018-04-02,16.7,,61.9,,,,,,
90,속초,2018-04-03,14.1,1.6,69.4,,,,,,
90,속초,2018-04-04,5,22.6,89.9,,,,,,
90,속초,2018-04-05,5.2,11,93.9,,,,,,
90,속초,2018-04-06,6,5.7,72.4,,,,,,
90,속초,2018-04-07,5.3,,40.6,,,,,,
90,속초,2018-04-08,5.1,2.1,53,,,,,,
90,속초,2018-04-09,9,,49.6,,,,,,
90,속초,2018-04-10,14.8,6,50.3,,,,,,
90,속초,2018-04-11,17.1,0,30.4,,,,,,
90,속초,2018-04-12,14.2,,32.3,,,,,,
90,속초,2018-04-13,11.2,,57.9,,,,,,
90,속초,2018-04-14,7.2,19.1,91.6,,,,,,
90,속초,2018-04-15,12,,51.3,,,,,,
90,속초,2018-04-16,10.4,,58,,,,,,
90,속초,2018-04-17,11.5,,67.4,,,,,,
90,속초,2018-04-18,16.8,,34.5,,,,,,
90,속초,2018-04-19,21.4,,23.4,,,,,,
90,속초,2018-04-20,16.9,,60.6,,,,,,
90,속초,2018-04-21,23,,25.6,,,,,,
90,속초,2018-04-22,12.3,4.8,59.6,,,,,,
90,속초,2018-04-23,7.6,56.8,93.6,,,,,,
90,속초,2018-04-24,8,12,87.1,,,,,,
90,속초,2018-04-25,10.9,,65.4,,,,,,
90,속초,2018-04-26,17.1,,51.4,,,,,,
90,속초,2018-04-27,13.2,,49.3,,,,,,
90,속초,2018-04-28,19.1,,42,,,,,,
90,속초,2018-04-29,22.9,,30.5,,,,,,
90,속초,2018-04-30,19.1,,51.9,,,,,,
90,속초,2018-05-01,13.4,.6,85.1,,,,,,
90,속초,2018-05-02,9.7,16.6,89,,,,,,
90,속초,2018-05-03,11,.6,57.5,,,,,,
90,속초,2018-05-04,18.1,,28.6,,,,,,
90,속초,2018-05-05,22.2,,34.3,,,,,,
90,속초,2018-05-06,14.6,3.4,88.1,,,,,,
90,속초,2018-05-07,13.9,1.8,89.6,,,,,,
90,속초,2018-05-08,9.3,14.6,95.9,,,,,,
90,속초,2018-05-09,9.3,0,81.5,,,,,,
90,속초,2018-05-10,14.6,,69.4,,,,,,
90,속초,2018-05-11,18,,54.6,,,,,,
90,속초,2018-05-12,13.4,5.7,83,,,,,,
90,속초,2018-05-13,16.5,,82.4,,,,,,
90,속초,2018-05-14,20.2,,63.6,,,,,,
90,속초,2018-05-15,23.4,,50.4,,,,,,
90,속초,2018-05-16,22.8,10.5,79.4,,,,,,
