지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
98,동두천,2014-01-01,2.7,62.6,
98,동두천,2014-01-02,.4,42.3,
98,동두천,2014-01-03,.1,70.9,
98,동두천,2014-01-04,-1.1,55.4,
98,동두천,2014-01-05,-2,55.6,
98,동두천,2014-01-06,-1.2,64.1,
98,동두천,2014-01-07,1.6,71.9,
98,동두천,2014-01-08,-.2,63.5,
98,동두천,2014-01-09,-8.2,33.9,
98,동두천,2014-01-10,-7,59.3,
98,동두천,2014-01-11,-3.4,53.6,
98,동두천,2014-01-12,-4,47.5,
98,동두천,2014-01-13,-7.6,39.8,
98,동두천,2014-01-14,-6.1,47.4,
98,동두천,2014-01-15,-5,56.3,
98,동두천,2014-01-16,-1.9,72.5,
98,동두천,2014-01-17,-2.6,67.6,
98,동두천,2014-01-18,-3.1,49.1,
98,동두천,2014-01-19,-3.8,50.8,
98,동두천,2014-01-20,-1.8,81.5,
98,동두천,2014-01-21,-6.6,72.3,
98,동두천,2014-01-22,-5.5,66.6,
98,동두천,2014-01-23,-2.2,73.6,
98,동두천,2014-01-24,3,68.1,
98,동두천,2014-01-25,3.4,77.8,
98,동두천,2014-01-26,-2.8,48.1,
98,동두천,2014-01-27,-1.8,61.6,
98,동두천,2014-01-28,.5,56.1,
98,동두천,2014-01-29,-.3,46.4,
98,동두천,2014-01-30,2.6,63.8,
98,동두천,2014-01-31,-.8,44.9,
98,동두천,2014-02-01,2,74.6,
98,동두천,2014-02-02,3.3,92,
98,동두천,2014-02-03,-3.9,43.9,
98,동두천,2014-02-04,-7.5,28.6,
98,동두천,2014-02-05,-6.1,39.8,
98,동두천,2014-02-06,-2.3,41.5,
98,동두천,2014-02-07,1.2,54.8,
98,동두천,2014-02-08,-.9,84,
98,동두천,2014-02-09,-2.2,79.1,
98,동두천,2014-02-10,-1.4,61.1,
98,동두천,2014-02-11,-1.7,57.6,
98,동두천,2014-02-12,-.9,61.1,
98,동두천,2014-02-13,.3,57.8,
98,동두천,2014-02-14,1.7,54.1,
98,동두천,2014-02-15,1.1,62.5,
98,동두천,2014-02-16,1,60.9,
98,동두천,2014-02-17,2.7,55,
98,동두천,2014-02-18,1.3,51.6,
98,동두천,2014-02-19,.5,57.8,
98,동두천,2014-02-20,.3,64.5,
98,동두천,2014-02-21,0,53.4,
98,동두천,2014-02-22,.8,55.8,
98,동두천,2014-02-23,1.7,56.4,
98,동두천,2014-02-24,3,62.6,
98,동두천,2014-02-25,4.7,63,
98,동두천,2014-02-26,6.5,56.3,
98,동두천,2014-02-27,6.3,60.8,
98,동두천,2014-02-28,5.4,62,
98,동두천,2014-03-01,5,63.8,
98,동두천,2014-03-02,4,45.5,
98,동두천,2014-03-03,3.2,40.9,
98,동두천,2014-03-04,4.8,47,
98,동두천,2014-03-05,1.3,37.8,
98,동두천,2014-03-06,-.7,39.8,
98,동두천,2014-03-07,-1.2,40.6,
98,동두천,2014-03-08,1.1,52.9,
98,동두천,2014-03-09,1.8,41.4,
98,동두천,2014-03-10,1.2,41.8,
98,동두천,2014-03-11,3.2,64.1,
98,동두천,2014-03-12,5.9,66.9,
98,동두천,2014-03-13,4.4,48,
98,동두천,2014-03-14,2.7,53.6,
98,동두천,2014-03-15,5.7,59.8,
98,동두천,2014-03-16,11.2,57.1,
98,동두천,2014-03-17,11.6,74.4,
98,동두천,2014-03-18,11,67.6,
98,동두천,2014-03-19,9,61.4,
98,동두천,2014-03-20,5.6,68.8,
98,동두천,2014-03-21,5.1,52.8,
98,동두천,2014-03-22,7.2,56.8,
98,동두천,2014-03-23,8.3,60.3,
98,동두천,2014-03-24,9.6,60,
98,동두천,2014-03-25,13.9,66,
98,동두천,2014-03-26,15.7,49.6,
98,동두천,2014-03-27,13,55.5,
98,동두천,2014-03-28,15.8,50.4,
98,동두천,2014-03-29,13.7,62.9,
98,동두천,2014-03-30,14,53.4,
98,동두천,2014-03-31,14,39.5,
98,동두천,2014-04-01,14.2,30.5,
98,동두천,2014-04-02,14.5,30.5,
98,동두천,2014-04-03,9,56.1,
98,동두천,2014-04-04,6,46.9,
98,동두천,2014-04-05,4,69.5,
98,동두천,2014-04-06,6.6,50.8,
98,동두천,2014-04-07,9.6,59.8,
98,동두천,2014-04-08,11.2,49.5,
98,동두천,2014-04-09,9.6,71.5,
98,동두천,2014-04-10,13,61.9,
98,동두천,2014-04-11,12.9,63.6,
98,동두천,2014-04-12,13.4,64.5,
98,동두천,2014-04-13,16.6,50.8,
98,동두천,2014-04-14,15.9,47.8,
98,동두천,2014-04-15,12.7,67.1,
98,동두천,2014-04-16,14,74.5,
98,동두천,2014-04-17,14.1,69.4,
98,동두천,2014-04-18,15.8,44,
98,동두천,2014-04-19,13.2,44.6,
98,동두천,2014-04-20,14.1,47.3,
98,동두천,2014-04-21,14.4,48,
98,동두천,2014-04-22,15.3,36.6,
98,동두천,2014-04-23,16.3,41.3,
98,동두천,2014-04-24,16.8,43.5,
98,동두천,2014-04-25,17.1,31.4,
98,동두천,2014-04-26,17,32.6,
98,동두천,2014-04-27,14.2,81.9,
98,동두천,2014-04-28,13.7,81.8,
98,동두천,2014-04-29,14.5,62.8,
98,동두천,2014-04-30,15.6,56.9,
98,동두천,2014-05-01,15.5,56.9,
98,동두천,2014-05-02,14.8,66.8,
98,동두천,2014-05-03,12.5,47.5,
98,동두천,2014-05-04,10.9,57.1,
98,동두천,2014-05-05,10,55.3,
98,동두천,2014-05-06,11.4,46.5,
98,동두천,2014-05-07,13.7,47.6,
98,동두천,2014-05-08,14.6,73.9,
98,동두천,2014-05-09,15.1,55.9,
98,동두천,2014-05-10,18.8,44.8,
98,동두천,2014-05-11,16.9,58.1,
98,동두천,2014-05-12,15.3,75.1,
98,동두천,2014-05-13,18.1,64.4,
98,동두천,2014-05-14,19,56.8,
98,동두천,2014-05-15,18.2,55.4,
98,동두천,2014-05-16,17.8,49.3,
98,동두천,2014-05-17,18.8,44,
98,동두천,2014-05-18,19,50.9,
98,동두천,2014-05-19,18.5,54.1,
98,동두천,2014-05-20,20.2,46,
98,동두천,2014-05-21,19.9,54.5,
98,동두천,2014-05-22,20.5,55.9,
98,동두천,2014-05-23,20.7,64.9,
98,동두천,2014-05-24,20.7,67.5,
98,동두천,2014-05-25,19.7,73.9,
98,동두천,2014-05-26,19.1,61,
98,동두천,2014-05-27,22.4,43.3,
98,동두천,2014-05-28,23.1,58,
98,동두천,2014-05-29,22.5,54.9,
98,동두천,2014-05-30,23.3,46.4,
98,동두천,2014-05-31,24.5,52.3,
98,동두천,2014-06-01,23.2,63.5,
98,동두천,2014-06-02,21.3,75.8,
98,동두천,2014-06-03,19.3,80.4,
98,동두천,2014-06-04,22,58.4,
98,동두천,2014-06-05,22.1,57.8,
98,동두천,2014-06-06,24.3,51,
98,동두천,2014-06-07,22.5,65.8,
98,동두천,2014-06-08,21.4,71.1,
98,동두천,2014-06-09,23.1,62.6,
