지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
155,창원,2011-01-01,-1,43.9,
155,창원,2011-01-02,2.2,45.8,
155,창원,2011-01-03,.8,59.9,
155,창원,2011-01-04,1.1,60.8,
155,창원,2011-01-05,1.6,51,
155,창원,2011-01-06,-.6,46.6,
155,창원,2011-01-07,-1.6,34.9,
155,창원,2011-01-08,.2,39.6,
155,창원,2011-01-09,1,41.4,
155,창원,2011-01-10,-3.2,30.3,
155,창원,2011-01-11,-.4,37.4,
155,창원,2011-01-12,-1.8,37.6,
155,창원,2011-01-13,-1.9,38.9,
155,창원,2011-01-14,1.2,40.6,
155,창원,2011-01-15,-3.6,28.6,
155,창원,2011-01-16,-6.7,35.6,
155,창원,2011-01-17,-3.3,33.9,
155,창원,2011-01-18,-1,41.5,
155,창원,2011-01-19,-.6,46.6,
155,창원,2011-01-20,-1.3,41.5,
155,창원,2011-01-21,-1.1,29.4,
155,창원,2011-01-22,.7,38,
155,창원,2011-01-23,2.2,35.8,
155,창원,2011-01-24,-1.3,46,
155,창원,2011-01-25,-2.6,47,
155,창원,2011-01-26,-1.7,39.8,
155,창원,2011-01-27,-2.4,31.1,
155,창원,2011-01-28,-.5,19.5,
155,창원,2011-01-29,-3,28.6,
155,창원,2011-01-30,-3.7,33.1,
155,창원,2011-01-31,-1.8,37.3,
155,창원,2011-02-01,2.6,41.5,
155,창원,2011-02-02,5.2,34.3,
155,창원,2011-02-03,4.2,35.5,
155,창원,2011-02-04,5,39.3,
155,창원,2011-02-05,5.6,36.1,
155,창원,2011-02-06,6.8,51.1,
155,창원,2011-02-07,5.9,49,
155,창원,2011-02-08,4.1,84.8,
155,창원,2011-02-09,5,46.8,
155,창원,2011-02-10,1.5,66.5,
155,창원,2011-02-11,3.2,54.8,
155,창원,2011-02-12,-.1,32.1,
155,창원,2011-02-13,.1,44.4,
155,창원,2011-02-14,-.1,77.4,
155,창원,2011-02-15,1.9,63.5,
155,창원,2011-02-16,4.1,72.5,
155,창원,2011-02-17,4.3,84.4,
155,창원,2011-02-18,4.7,59.9,
155,창원,2011-02-19,5.7,59.8,
155,창원,2011-02-20,7.9,44.3,
155,창원,2011-02-21,6.6,52.6,
155,창원,2011-02-22,6.3,65.4,
155,창원,2011-02-23,7.1,65.1,
155,창원,2011-02-24,10.7,61.8,
155,창원,2011-02-25,9.9,41.8,
155,창원,2011-02-26,7.7,57.1,
155,창원,2011-02-27,7.5,89.5,
155,창원,2011-02-28,7.1,83.9,
155,창원,2011-03-01,6,76.1,
155,창원,2011-03-02,2.9,41.8,
155,창원,2011-03-03,1.4,35.5,
155,창원,2011-03-04,3.3,34.8,
155,창원,2011-03-05,4.8,46.4,
155,창원,2011-03-06,7.3,40.3,
155,창원,2011-03-07,6.7,35.8,
155,창원,2011-03-08,5.1,30.6,
155,창원,2011-03-09,4.8,26.1,
155,창원,2011-03-10,4.8,36.4,
155,창원,2011-03-11,7.8,31.9,
155,창원,2011-03-12,9.2,45.4,
155,창원,2011-03-13,11.2,63.5,
155,창원,2011-03-14,12.1,64.1,
155,창원,2011-03-15,7.6,42.5,
155,창원,2011-03-16,3.4,27.3,
155,창원,2011-03-17,4.3,31,
155,창원,2011-03-18,7.8,40.6,
155,창원,2011-03-19,11.5,64.8,
155,창원,2011-03-20,9.8,86.1,
155,창원,2011-03-21,9.3,67.3,
155,창원,2011-03-22,6.7,30.3,
155,창원,2011-03-23,4.9,27.5,
155,창원,2011-03-24,7.7,36.5,
155,창원,2011-03-25,5.7,31.6,
155,창원,2011-03-26,5.3,37.1,
155,창원,2011-03-27,7,37.8,
155,창원,2011-03-28,9.8,39.4,
155,창원,2011-03-29,8.9,33.6,
155,창원,2011-03-30,9.8,38.4,
155,창원,2011-03-31,13.3,25.3,
155,창원,2011-04-01,13.1,32,
155,창원,2011-04-02,12,43.8,
155,창원,2011-04-03,7.5,69.3,
155,창원,2011-04-04,9,47.8,
155,창원,2011-04-05,9.6,55.5,
155,창원,2011-04-06,12.5,62,
155,창원,2011-04-07,13.7,89.3,
155,창원,2011-04-08,13.7,72.5,
155,창원,2011-04-09,12.9,56.6,
155,창원,2011-04-10,14.5,42.9,
155,창원,2011-04-11,11.3,62.5,
155,창원,2011-04-12,12,34.9,
155,창원,2011-04-13,13.3,41.6,
155,창원,2011-04-14,14,47.8,
155,창원,2011-04-15,17.1,74.3,
155,창원,2011-04-16,12.6,58.1,
155,창원,2011-04-17,11.4,56.5,
155,창원,2011-04-18,10.4,58.5,
155,창원,2011-04-19,11.1,49.8,
155,창원,2011-04-20,11.9,68.6,
155,창원,2011-04-21,14,62.1,
155,창원,2011-04-22,14.1,86.4,
155,창원,2011-04-23,13.3,46.1,
155,창원,2011-04-24,13,42.6,
155,창원,2011-04-25,13.6,50.5,
155,창원,2011-04-26,15.2,86.1,
155,창원,2011-04-27,16.4,60.6,
155,창원,2011-04-28,13.1,40,
155,창원,2011-04-29,14.1,49.4,
155,창원,2011-04-30,17.8,86.5,
155,창원,2011-05-01,18.7,46.6,
155,창원,2011-05-02,15.9,48,
155,창원,2011-05-03,17.3,52,
155,창원,2011-05-04,16.4,43.8,
155,창원,2011-05-05,15.7,51.5,
155,창원,2011-05-06,14.6,75.6,
155,창원,2011-05-07,19.2,84.5,
155,창원,2011-05-08,19.1,77,
155,창원,2011-05-09,18.2,92.1,
155,창원,2011-05-10,19.1,92.8,
155,창원,2011-05-11,15.4,92.5,
155,창원,2011-05-12,16.9,73.6,
155,창원,2011-05-13,19.6,27.1,
155,창원,2011-05-14,21.1,22.1,
155,창원,2011-05-15,18.5,39.9,
155,창원,2011-05-16,18.7,61.9,
155,창원,2011-05-17,18.8,41.9,
155,창원,2011-05-18,18,72.1,
155,창원,2011-05-19,20,70,
155,창원,2011-05-20,20,90.1,
155,창원,2011-05-21,21.1,80.5,
155,창원,2011-05-22,17.4,77,
155,창원,2011-05-23,14.5,80.5,
155,창원,2011-05-24,17.9,60.4,
155,창원,2011-05-25,19.2,59.4,
155,창원,2011-05-26,16.3,79.1,
155,창원,2011-05-27,16.6,86,
155,창원,2011-05-28,18.4,80.1,
155,창원,2011-05-29,19.6,59.9,
155,창원,2011-05-30,17.5,80.5,
155,창원,2011-05-31,16.3,82.1,
155,창원,2011-06-01,18.7,81.4,
155,창원,2011-06-02,18.7,82.5,
155,창원,2011-06-03,20.3,73.6,
155,창원,2011-06-04,21.3,74.3,
155,창원,2011-06-05,22.1,64.8,
155,창원,2011-06-06,22.5,61.8,
155,창원,2011-06-07,21.8,67.5,
155,창원,2011-06-08,22.4,66.1,
155,창원,2011-06-09,21.2,74.9,
155,창원,2011-06-10,20.9,86.3,
155,창원,2011-06-11,21.4,74.1,
155,창원,2011-06-12,21.2,77,
155,창원,2011-06-13,21.4,80.4,
155,창원,2011-06-14,21,78.6,
155,창원,2011-06-15,20.9,75.6,
155,창원,2011-06-16,23.1,59.4,
155,창원,2011-06-17,21.2,71,
155,창원,2011-06-18,21.2,76.6,
155,창원,2011-06-19,21.5,70,
155,창원,2011-06-20,21.9,74.3,
155,창원,2011-06-21,23.7,72.4,
155,창원,2011-06-22,23.2,90.4,
155,창원,2011-06-23,24.3,87.8,
155,창원,2011-06-24,24.9,85.4,
155,창원,2011-06-25,20.8,90.3,
155,창원,2011-06-26,22.3,88.3,
155,창원,2011-06-27,21.9,84.5,
155,창원,2011-06-28,22.4,87.3,
155,창원,2011-06-29,24.6,88.4,
155,창원,2011-06-30,24.3,89.3,
155,창원,2011-07-01,26.4,81.3,
155,창원,2011-07-02,26.1,82.5,
155,창원,2011-07-03,23.9,89,
155,창원,2011-07-04,25.9,74.3,
155,창원,2011-07-05,24.9,64.9,
155,창원,2011-07-06,20.8,87.8,
155,창원,2011-07-07,23.3,89.6,
155,창원,2011-07-08,25.3,88,
155,창원,2011-07-09,23.6,91.1,
155,창원,2011-07-10,24.4,88.4,
155,창원,2011-07-11,25.3,81.5,
155,창원,2011-07-12,25.6,84,
155,창원,2011-07-13,25.2,89.6,
155,창원,2011-07-14,26.5,82,
155,창원,2011-07-15,26.7,84.3,
155,창원,2011-07-16,27.2,80.9,
155,창원,2011-07-17,27.4,73.8,
155,창원,2011-07-18,28.2,66.1,
155,창원,2011-07-19,28.6,62.3,
155,창원,2011-07-20,26.9,68,
155,창원,2011-07-21,24.3,74.4,
155,창원,2011-07-22,22.6,72.6,
155,창원,2011-07-23,24.2,78.1,
155,창원,2011-07-24,23.5,81.9,
155,창원,2011-07-25,24.4,75.6,
155,창원,2011-07-26,26.2,83.5,
