지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
115,울릉도,2017-01-01,7,49.5,7.04
115,울릉도,2017-01-02,8.8,49,5.9
115,울릉도,2017-01-03,7,50.9,5.27
115,울릉도,2017-01-04,6,58.8,3.35
115,울릉도,2017-01-05,2.6,63.5,5.27
115,울릉도,2017-01-06,3,56.8,7.21
115,울릉도,2017-01-07,5.8,55.8,4.38
115,울릉도,2017-01-08,7.2,72.8,1.54
115,울릉도,2017-01-09,5.3,70.3,3.48
115,울릉도,2017-01-10,3.2,45.1,7.13
115,울릉도,2017-01-11,.5,44.1,5.49
115,울릉도,2017-01-12,2.8,36.4,6.44
115,울릉도,2017-01-13,-.7,46.5,2.18
115,울릉도,2017-01-14,-5.3,68,1.71
115,울릉도,2017-01-15,-.4,58.3,3.47
115,울릉도,2017-01-16,.9,58.8,2.74
115,울릉도,2017-01-17,3.3,61.6,6.43
115,울릉도,2017-01-18,4,48.6,5.14
115,울릉도,2017-01-19,3.5,68.4,6.12
115,울릉도,2017-01-20,1,70.1,.85
115,울릉도,2017-01-21,.7,56.6,2.73
115,울릉도,2017-01-22,-1.8,66.5,2.3
115,울릉도,2017-01-23,-3.2,89.1,1.02
115,울릉도,2017-01-24,-1.8,85.1,3.37
115,울릉도,2017-01-25,.8,55.4,7.64
115,울릉도,2017-01-26,3.7,52.8,7.85
115,울릉도,2017-01-27,3.8,44.4,8.49
115,울릉도,2017-01-28,3.5,61.1,8.51
115,울릉도,2017-01-29,6.2,65.3,2.04
115,울릉도,2017-01-30,.3,81.3,1.09
115,울릉도,2017-01-31,1.4,55,3.4
115,울릉도,2017-02-01,1.1,48.5,4.71
115,울릉도,2017-02-02,3.8,42.4,9.68
115,울릉도,2017-02-03,5.2,47.3,9.82
115,울릉도,2017-02-04,7.1,41.9,9.33
115,울릉도,2017-02-05,6.1,66.9,4.61
115,울릉도,2017-02-06,.4,82.1,.91
115,울릉도,2017-02-07,.6,64,4.33
115,울릉도,2017-02-08,1.6,73.9,1.04
115,울릉도,2017-02-09,-.7,85.6,1.34
115,울릉도,2017-02-10,-3.7,89.5,1.15
115,울릉도,2017-02-11,-2.3,79.9,.95
115,울릉도,2017-02-12,.4,72,5.75
115,울릉도,2017-02-13,1.5,59,8.37
115,울릉도,2017-02-14,1,65.3,5.55
115,울릉도,2017-02-15,4.8,48.1,10.22
115,울릉도,2017-02-16,8.6,55.1,10.2
115,울릉도,2017-02-17,4.6,84,2.38
115,울릉도,2017-02-18,.4,82.6,1.67
115,울릉도,2017-02-19,2.8,61,5.56
115,울릉도,2017-02-20,2.8,71.9,6.36
115,울릉도,2017-02-21,.6,60.9,6.36
115,울릉도,2017-02-22,5,77.9,1.46
115,울릉도,2017-02-23,2.5,63,2.57
115,울릉도,2017-02-24,1.8,46.9,8.81
115,울릉도,2017-02-25,4.1,41.5,12.08
115,울릉도,2017-02-26,3.2,61.3,5.29
115,울릉도,2017-02-27,3.8,56.8,10.97
115,울릉도,2017-02-28,6.1,59.6,7.07
115,울릉도,2017-03-01,8.7,61.3,6.86
115,울릉도,2017-03-02,3.1,82.9,1.61
115,울릉도,2017-03-03,5.9,58.6,11.87
115,울릉도,2017-03-04,6.6,58.8,6.71
115,울릉도,2017-03-05,8.2,67.8,9.8
115,울릉도,2017-03-06,1.3,86.3,3.73
115,울릉도,2017-03-07,-.5,58.8,4.75
115,울릉도,2017-03-08,1.1,59.8,5.75
115,울릉도,2017-03-09,4.1,52,10
115,울릉도,2017-03-10,4.1,46.8,6.19
115,울릉도,2017-03-11,7.3,52.4,13.08
115,울릉도,2017-03-12,9.3,69.4,7.27
115,울릉도,2017-03-13,5.4,63.6,5.26
115,울릉도,2017-03-14,3.9,58.1,7.11
115,울릉도,2017-03-15,3.6,58.9,3.58
115,울릉도,2017-03-16,5.6,57.3,14.44
115,울릉도,2017-03-17,7.6,61.8,9.04
115,울릉도,2017-03-18,10.2,40.5,8.71
115,울릉도,2017-03-19,9.7,43.5,13.84
115,울릉도,2017-03-20,9.4,60.3,9.62
115,울릉도,2017-03-21,5.5,57.1,6.38
115,울릉도,2017-03-22,7.3,40.6,12.99
115,울릉도,2017-03-23,6.6,49.4,7.68
115,울릉도,2017-03-24,5,43.6,8.89
115,울릉도,2017-03-25,5.7,49.4,14.64
115,울릉도,2017-03-26,6.8,55.5,13.01
115,울릉도,2017-03-27,5.3,78.1,4.19
115,울릉도,2017-03-28,7.2,63.6,12.16
115,울릉도,2017-03-29,9.9,60.4,14.98
115,울릉도,2017-03-30,9.3,45.3,14.2
115,울릉도,2017-03-31,6.8,60.9,5.47
115,울릉도,2017-04-01,7.1,54.6,12.58
115,울릉도,2017-04-02,6.3,69.9,9.87
115,울릉도,2017-04-03,11.6,28.5,16.51
115,울릉도,2017-04-04,12.9,46.1,15.13
115,울릉도,2017-04-05,13.5,57,5.95
115,울릉도,2017-04-06,12.4,84.5,.95
115,울릉도,2017-04-07,13.2,70.8,15.93
115,울릉도,2017-04-08,11.1,84.6,13.31
115,울릉도,2017-04-09,9,55.9,8.92
115,울릉도,2017-04-10,9.3,57.6,17.1
115,울릉도,2017-04-11,8.8,84.3,5.69
115,울릉도,2017-04-12,9,63.6,16.12
115,울릉도,2017-04-13,12.1,47.8,17.89
115,울릉도,2017-04-14,14.3,58.1,12.39
115,울릉도,2017-04-15,17.9,42.9,17.35
115,울릉도,2017-04-16,20.1,24.1,13.82
115,울릉도,2017-04-17,13.8,75.8,1.29
115,울릉도,2017-04-18,12.1,72.3,13.73
115,울릉도,2017-04-19,11.4,47.9,16.54
115,울릉도,2017-04-20,12.7,61.8,7.95
115,울릉도,2017-04-21,11.3,54.8,17.44
115,울릉도,2017-04-22,10.9,57.6,17.9
115,울릉도,2017-04-23,12.9,62,17.94
115,울릉도,2017-04-24,14.1,69.4,17.57
115,울릉도,2017-04-25,16.3,62.3,12.93
115,울릉도,2017-04-26,13.2,48.4,13.07
115,울릉도,2017-04-27,12.5,48.4,17.5
115,울릉도,2017-04-28,15.2,37.6,16.61
115,울릉도,2017-04-29,16,45.3,19.02
115,울릉도,2017-04-30,19.1,40,15.64
115,울릉도,2017-05-01,14,34.1,19.54
115,울릉도,2017-05-02,13.7,36.9,18.57
115,울릉도,2017-05-03,15.1,54.9,19.31
115,울릉도,2017-05-04,18.4,58.9,18.76
115,울릉도,2017-05-05,19.9,65,17.68
115,울릉도,2017-05-06,16.2,38,14.86
115,울릉도,2017-05-07,17.3,26.8,19.52
115,울릉도,2017-05-08,19.3,35.1,17.7
115,울릉도,2017-05-09,15.1,75.8,4.37
115,울릉도,2017-05-10,15.5,74.3,13.3
115,울릉도,2017-05-11,19.1,50.8,16.95
115,울릉도,2017-05-12,18.8,54.8,5.59
115,울릉도,2017-05-13,15.3,80.4,6.2
115,울릉도,2017-05-14,16.8,43.5,20.15
115,울릉도,2017-05-15,15.1,55.3,20.04
115,울릉도,2017-05-16,14.8,77.5,18.33
115,울릉도,2017-05-17,15.2,71.5,14.97
115,울릉도,2017-05-18,17.2,67.8,13.52
115,울릉도,2017-05-19,22.5,35.3,19.86
115,울릉도,2017-05-20,22.2,37.1,19.24
115,울릉도,2017-05-21,22.9,37.8,19.48
115,울릉도,2017-05-22,18.7,72.6,18.32
115,울릉도,2017-05-23,17,75.8,13.99
115,울릉도,2017-05-24,16.1,84,7.89
115,울릉도,2017-05-25,16.2,75.9,8.16
115,울릉도,2017-05-26,11.7,71.3,9.43
115,울릉도,2017-05-27,14.8,65.9,12.25
115,울릉도,2017-05-28,18.3,63.3,16.87
115,울릉도,2017-05-29,22.4,51.5,19.12
115,울릉도,2017-05-30,25.6,33,17.41
115,울릉도,2017-05-31,21.7,54.6,12.46
115,울릉도,2017-06-01,18.3,67.1,10.09
115,울릉도,2017-06-02,15.1,60.5,20.07
115,울릉도,2017-06-03,13.6,86,4.73
115,울릉도,2017-06-04,16.5,65.4,17.03
115,울릉도,2017-06-05,15.7,65,21.14
115,울릉도,2017-06-06,15.8,75.3,10.81
115,울릉도,2017-06-07,16.7,90.9,.4
115,울릉도,2017-06-08,20,51.6,20.17
115,울릉도,2017-06-09,22.6,37.1,15.33
115,울릉도,2017-06-10,17.9,36.1,19.52
115,울릉도,2017-06-11,17,60.4,21.5
115,울릉도,2017-06-12,14.6,69.4,11.99
115,울릉도,2017-06-13,15.5,64.9,21.06
115,울릉도,2017-06-14,19,65.4,20.95
115,울릉도,2017-06-15,20.1,64.6,18.94
115,울릉도,2017-06-16,16.3,78.5,13.5
115,울릉도,2017-06-17,17.4,73.5,16.86
115,울릉도,2017-06-18,18.3,77.5,20.33
115,울릉도,2017-06-19,19.7,85.4,12.48
115,울릉도,2017-06-20,21.3,74.1,15.91
115,울릉도,2017-06-21,20.7,68.5,18.04
115,울릉도,2017-06-22,21.7,70.9,18.9
115,울릉도,2017-06-23,21.3,76,18.5
115,울릉도,2017-06-24,20.8,79.6,13.65
115,울릉도,2017-06-25,21.6,75,18.09
115,울릉도,2017-06-26,21.3,77.4,13.35
115,울릉도,2017-06-27,21,74.4,16.78
115,울릉도,2017-06-28,20.9,82.6,11.5
115,울릉도,2017-06-29,22.6,81.3,10.84
115,울릉도,2017-06-30,23.7,74.8,17.45
115,울릉도,2017-07-01,25.7,61.1,9.64
115,울릉도,2017-07-02,24.6,79.4,9.32
115,울릉도,2017-07-03,22.8,88.9,5.12
115,울릉도,2017-07-04,22.4,86.6,7.86
115,울릉도,2017-07-05,21.7,80.3,12.91
115,울릉도,2017-07-06,23.1,80.3,17.69
115,울릉도,2017-07-07,23.5,86.6,6.88
115,울릉도,2017-07-08,25.1,76.9,9.35
115,울릉도,2017-07-09,26.9,70.9,18.04
115,울릉도,2017-07-10,23.5,91.3,1.81
115,울릉도,2017-07-11,25,74.8,16.29
115,울릉도,2017-07-12,26.8,57.4,19.74
115,울릉도,2017-07-13,24.8,73.9,19.68
115,울릉도,2017-07-14,25.3,71.6,18.79
115,울릉도,2017-07-15,25.5,69,7.1
115,울릉도,2017-07-16,25.5,69.5,7.48
115,울릉도,2017-07-17,28,59.1,17.42
115,울릉도,2017-07-18,27.1,62.5,17.08
115,울릉도,2017-07-19,25.9,70.9,19.07
115,울릉도,2017-07-20,25.8,83.5,14.23
115,울릉도,2017-07-21,28.3,66.1,14.84
115,울릉도,2017-07-22,24.1,84.8,6.37
115,울릉도,2017-07-23,24.4,86.8,7.65
115,울릉도,2017-07-24,23.3,88.5,3.56
115,울릉도,2017-07-25,23.1,,10.9
115,울릉도,2017-07-26,22.6,65.5,20.1
115,울릉도,2017-07-27,23.4,71.6,16.29
115,울릉도,2017-07-28,23.2,82.5,3.35
115,울릉도,2017-07-29,22.8,81.4,3.98
115,울릉도,2017-07-30,24.1,78.4,14.75
115,울릉도,2017-07-31,24.3,81.6,7.33
115,울릉도,2017-08-01,24.5,81,9.2
115,울릉도,2017-08-02,24,78.8,11.63
115,울릉도,2017-08-03,24.7,78.1,15.02
115,울릉도,2017-08-04,26.2,80.1,17.7
115,울릉도,2017-08-05,27.7,73.3,18.24
115,울릉도,2017-08-06,28.1,75,16.26
115,울릉도,2017-08-07,27.8,74.8,14.05
115,울릉도,2017-08-08,26.3,79.3,10.75
115,울릉도,2017-08-09,24.6,85,1.6
115,울릉도,2017-08-10,24.1,81.6,5.9
115,울릉도,2017-08-11,23,79.8,7.33
115,울릉도,2017-08-12,22.8,70.9,14.5
115,울릉도,2017-08-13,22.5,74.6,9.53
115,울릉도,2017-08-14,23,77.3,5.56
115,울릉도,2017-08-15,23.6,73.5,12.76
115,울릉도,2017-08-16,22.1,82.5,3.96
115,울릉도,2017-08-17,21.9,82,4.65
