瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
156,堡林,2016-01-01,3.2,73.1,9.2
156,堡林,2016-01-02,6.5,78.6,7.59
156,堡林,2016-01-03,7.3,78.9,8.15
156,堡林,2016-01-04,6.4,66.5,9.61
156,堡林,2016-01-05,2.4,40.3,5.45
156,堡林,2016-01-06,3.3,54.1,9.84
156,堡林,2016-01-07,2.7,63.4,7.38
156,堡林,2016-01-08,1.2,81,5.92
156,堡林,2016-01-09,2.5,65,9.56
156,堡林,2016-01-10,3.7,59.4,10.95
156,堡林,2016-01-11,1.5,48.8,10.82
156,堡林,2016-01-12,-.3,53.6,11.38
156,堡林,2016-01-13,1,70.8,9.51
156,堡林,2016-01-14,1.4,74.4,8.76
156,堡林,2016-01-15,2.6,63.5,9.6
156,堡林,2016-01-16,4.6,59.5,10.65
156,堡林,2016-01-17,3.7,76.5,2.64
156,堡林,2016-01-18,-.8,84.9,5.51
156,堡林,2016-01-19,-4.5,79.5,2.28
156,堡林,2016-01-20,-4.5,64.1,6.14
156,堡林,2016-01-21,-3,59.8,8.05
156,堡林,2016-01-22,-2.8,44.6,11.9
156,堡林,2016-01-23,-5.8,60.8,9.88
156,堡林,2016-01-24,-9.5,77.6,1.35
156,堡林,2016-01-25,-5.5,77.6,4.18
156,堡林,2016-01-26,-.2,74.8,11.01
156,堡林,2016-01-27,2,75.9,12.4
156,堡林,2016-01-28,2.6,87.6,2.78
156,堡林,2016-01-29,3.9,97.5,2.93
156,堡林,2016-01-30,3.7,81.9,12.09
156,堡林,2016-01-31,-.2,63.9,7.32
156,堡林,2016-02-01,-2.2,58.9,9.11
156,堡林,2016-02-02,-2.1,52.6,14.76
156,堡林,2016-02-03,-.1,56.5,14.14
156,堡林,2016-02-04,.7,58.9,10.95
156,堡林,2016-02-05,1.2,53.6,14.18
156,堡林,2016-02-06,-.4,59.1,10.66
156,堡林,2016-02-07,-.4,52,15.52
156,堡林,2016-02-08,2.8,59,13.46
156,堡林,2016-02-09,4,48.6,15.37
156,堡林,2016-02-10,5,48.5,14.95
156,堡林,2016-02-11,10.9,53.3,11.55
156,堡林,2016-02-12,13.7,95.8,2.54
156,堡林,2016-02-13,14.2,94.5,6.32
156,堡林,2016-02-14,.7,81.1,7.28
156,堡林,2016-02-15,-2.1,73.5,12.42
156,堡林,2016-02-16,1.3,69.9,8.16
156,堡林,2016-02-17,2.9,56.1,17.6
156,堡林,2016-02-18,4.7,61.5,15.31
156,堡林,2016-02-19,7,58.6,12.08
156,堡林,2016-02-20,4.7,44.4,14.2
156,堡林,2016-02-21,2.4,42.4,16.44
156,堡林,2016-02-22,3.5,44.1,5.99
156,堡林,2016-02-23,4,43.8,13.94
156,堡林,2016-02-24,-.6,49.1,14.42
156,堡林,2016-02-25,1.5,47.5,17.59
156,堡林,2016-02-26,3.5,74.5,8.18
156,堡林,2016-02-27,8.9,55.9,14.86
156,堡林,2016-02-28,6.7,76,6.29
156,堡林,2016-02-29,-1.1,63,9.95
