瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
143,措备,2023-01-01,1.7,61.4,10.1
143,措备,2023-01-02,.4,40.1,11.02
143,措备,2023-01-03,-.3,49.4,12.18
143,措备,2023-01-04,1.1,55.8,11.26
143,措备,2023-01-05,.6,70.8,8.84
143,措备,2023-01-06,1.8,68.9,10.88
143,措备,2023-01-07,3.2,70.5,8.99
143,措备,2023-01-08,2.4,66.1,11.5
143,措备,2023-01-09,3.2,70.1,7.38
143,措备,2023-01-10,2.8,71.5,11.58
143,措备,2023-01-11,4.2,67.5,11.48
143,措备,2023-01-12,6,56.9,11.52
143,措备,2023-01-13,11,97.9,4.05
143,措备,2023-01-14,9,97.6,1.81
143,措备,2023-01-15,3.9,92.4,2.21
143,措备,2023-01-16,-.7,67.1,12.76
143,措备,2023-01-17,-.3,56.9,11.53
143,措备,2023-01-18,.6,72.3,9.72
143,措备,2023-01-19,.5,72.8,12.81
143,措备,2023-01-20,.4,56.3,12.55
143,措备,2023-01-21,-2.1,50.8,13.71
143,措备,2023-01-22,-.5,59,6.21
143,措备,2023-01-23,2.9,63.1,12.11
143,措备,2023-01-24,-8.3,50.6,13.25
143,措备,2023-01-25,-8.9,45.8,14.57
143,措备,2023-01-26,-4.1,57.8,8.21
143,措备,2023-01-27,-3,40.4,13.33
143,措备,2023-01-28,-3.6,40,11.92
143,措备,2023-01-29,.8,50.9,13.62
143,措备,2023-01-30,1.3,31.9,14.23
143,措备,2023-01-31,1.7,39,13.57
143,措备,2023-02-01,3.8,43.8,11.11
143,措备,2023-02-02,1.3,39,12.31
143,措备,2023-02-03,2.4,32.4,11.37
143,措备,2023-02-04,1.6,41.4,14.05
143,措备,2023-02-05,1.6,46,14.88
143,措备,2023-02-06,4.2,40.6,13.25
143,措备,2023-02-07,5.3,57.3,12.43
143,措备,2023-02-08,4.9,51.3,14.32
143,措备,2023-02-09,3.9,57,10.31
143,措备,2023-02-10,4.6,80.8,6.35
143,措备,2023-02-11,3.6,79.5,10.58
143,措备,2023-02-12,4.8,75.1,7.72
143,措备,2023-02-13,6.1,73.5,2.59
143,措备,2023-02-14,4.6,64,14.08
143,措备,2023-02-15,2.8,71,8.22
143,措备,2023-02-16,4.7,66.3,10.49
143,措备,2023-02-17,4.4,62.3,5.91
143,措备,2023-02-18,6.9,66.6,2.1
143,措备,2023-02-19,7.2,50.3,13.56
143,措备,2023-02-20,2.6,34.1,14.56
143,措备,2023-02-21,1.3,38.4,17.89
143,措备,2023-02-22,3.8,52.9,16.91
143,措备,2023-02-23,7.8,39.3,16.96
143,措备,2023-02-24,7.4,34,15.66
143,措备,2023-02-25,3.8,33.5,18.1
143,措备,2023-02-26,3.7,33.6,18.94
143,措备,2023-02-27,6.2,34.8,18.86
143,措备,2023-02-28,8.8,40.9,19.08
143,措备,2023-03-01,8.4,52.5,7.85
143,措备,2023-03-02,4.6,22.6,19.58
143,措备,2023-03-03,7.5,26.9,19.06
143,措备,2023-03-04,8,51.1,14.2
143,措备,2023-03-05,8.9,56.1,18.24
143,措备,2023-03-06,10.5,43.8,18.69
143,措备,2023-03-07,13.2,38.8,16.51
143,措备,2023-03-08,14,40.4,15.64
143,措备,2023-03-09,16,47.5,15.09
143,措备,2023-03-10,14.9,47.4,18.44
143,措备,2023-03-11,16.7,44.6,15.62
143,措备,2023-03-12,9.9,63.5,6.78
143,措备,2023-03-13,5.2,29.3,21.31
143,措备,2023-03-14,9.7,40.1,19.84
143,措备,2023-03-15,13.8,53.6,16.25
143,措备,2023-03-16,10.5,25.1,18.04
143,措备,2023-03-17,9.5,45.3,12.65
143,措备,2023-03-18,11.8,38,16.25
143,措备,2023-03-19,11.4,31.1,22.04
143,措备,2023-03-20,12.3,39.5,20.59
143,措备,2023-03-21,15.3,43.1,20.08
143,措备,2023-03-22,15.9,70,13.22
143,措备,2023-03-23,15.2,95.4,3.8
143,措备,2023-03-24,12.6,71.8,11.26
143,措备,2023-03-25,10.4,65,8.41
143,措备,2023-03-26,11.7,,16.92
143,措备,2023-03-27,9.7,30.1,24
143,措备,2023-03-28,11.4,44.1,21.78
143,措备,2023-03-29,13.3,45,21.65
143,措备,2023-03-30,15.6,38,19.98
143,措备,2023-03-31,16.4,36.9,22.81
143,措备,2023-04-01,15,54.5,22.11
143,措备,2023-04-02,13.6,58.4,23.38
143,措备,2023-04-03,13.3,57,23.06
143,措备,2023-04-04,15.1,65.4,17
143,措备,2023-04-05,15.6,86.6,2.51
143,措备,2023-04-06,14,68.1,17.6
143,措备,2023-04-07,12.4,47.4,23.5
143,措备,2023-04-08,10.7,28.8,25.36
143,措备,2023-04-09,13.7,28.9,26.06
143,措备,2023-04-10,14.5,41.4,23.87
143,措备,2023-04-11,17.1,58.1,14.08
143,措备,2023-04-12,14.9,18.1,25.5
143,措备,2023-04-13,15.8,25.9,22.31
143,措备,2023-04-14,15.8,50.9,9.67
143,措备,2023-04-15,13.2,79.3,4.92
143,措备,2023-04-16,12.3,62.3,15.42
143,措备,2023-04-17,14.3,47.4,23.71
143,措备,2023-04-18,16.6,72.1,4.44
143,措备,2023-04-19,19.3,70.5,19.06
143,措备,2023-04-20,23.1,60.8,20.04
143,措备,2023-04-21,16.5,48.9,23.98
143,措备,2023-04-22,13.7,46,24.72
143,措备,2023-04-23,13.5,52.8,15.83
143,措备,2023-04-24,13,53.5,13.17
143,措备,2023-04-25,9.4,84,5.45
143,措备,2023-04-26,12.8,57.6,26.52
143,措备,2023-04-27,14.8,56.9,27.13
143,措备,2023-04-28,17.7,54.3,27.94
143,措备,2023-04-29,16.9,78.8,4.38
143,措备,2023-04-30,16.7,38,27.62
143,措备,2023-05-01,16.5,39.1,27.97
143,措备,2023-05-02,17.1,46.6,24.79
143,措备,2023-05-03,18.5,50.5,21.37
143,措备,2023-05-04,18.8,68,13.9
143,措备,2023-05-05,19,93.8,4.96
143,措备,2023-05-06,13.7,93.4,2.9
143,措备,2023-05-07,11.4,81.8,4.67
143,措备,2023-05-08,13.7,55.9,27.6
143,措备,2023-05-09,18.5,44.8,28.16
143,措备,2023-05-10,19.2,44.3,26.58
143,措备,2023-05-11,18.1,57.8,26.38
143,措备,2023-05-12,18.8,48.4,22.6
143,措备,2023-05-13,19.4,62.1,20.72
143,措备,2023-05-14,20.4,55.6,27.39
143,措备,2023-05-15,21.8,53.3,27.49
143,措备,2023-05-16,24.6,52,26.68
143,措备,2023-05-17,24.4,49.5,27.91
143,措备,2023-05-18,18.6,81.6,5.29
143,措备,2023-05-19,18.3,78.6,9.52
143,措备,2023-05-20,20.9,63.5,28.01
143,措备,2023-05-21,22.7,55,25.99
143,措备,2023-05-22,17,67,6.32
143,措备,2023-05-23,18.4,56,28.53
143,措备,2023-05-24,19.6,52.4,21.71
143,措备,2023-05-25,21.3,46.6,26.35
143,措备,2023-05-26,22,49.8,21.19
143,措备,2023-05-27,23.2,64.8,12.63
143,措备,2023-05-28,21.7,86.6,3.78
143,措备,2023-05-29,20.1,97.3,2.63
143,措备,2023-05-30,19.5,81.5,13.01
143,措备,2023-05-31,20.5,60.3,29.22
143,措备,2023-06-01,18.6,77,10.6
143,措备,2023-06-02,23.7,60.9,27.75
143,措备,2023-06-03,23.1,50.1,28.24
143,措备,2023-06-04,23.9,40.5,27.62
143,措备,2023-06-05,23.8,48.1,21.86
143,措备,2023-06-06,24.3,50.4,26.81
143,措备,2023-06-07,24.1,58.1,19.5
143,措备,2023-06-08,24.1,57.8,23.99
143,措备,2023-06-09,24.6,50.4,28.65
143,措备,2023-06-10,24.5,61,24
143,措备,2023-06-11,24.6,66.5,22.41
143,措备,2023-06-12,23.3,73.4,18.12
143,措备,2023-06-13,23.8,68.1,20.78
143,措备,2023-06-14,21.2,73.8,18.54
143,措备,2023-06-15,20.9,74,23.4
143,措备,2023-06-16,25.3,60.9,28.97
143,措备,2023-06-17,27.6,53.5,27.06
143,措备,2023-06-18,26.9,52.6,26.67
143,措备,2023-06-19,24.4,62.1,27.29
143,措备,2023-06-20,23,66.4,19.45
143,措备,2023-06-21,21.4,89.9,5.22
143,措备,2023-06-22,24.6,65.8,22.41
143,措备,2023-06-23,24.8,64.9,25.3
143,措备,2023-06-24,24.5,66,27.35
143,措备,2023-06-25,24.2,73.9,18.83
143,措备,2023-06-26,24.1,89.5,7.33
143,措备,2023-06-27,27.8,71.3,25.33
143,措备,2023-06-28,24.5,78.4,18.94
143,措备,2023-06-29,25.4,86.1,7.56
143,措备,2023-06-30,24,92.4,5.56
143,措备,2023-07-01,25.8,76.1,24.92
143,措备,2023-07-02,28.1,69,21.78
143,措备,2023-07-03,27.1,71.5,25.42
143,措备,2023-07-04,24.9,84.8,8.92
143,措备,2023-07-05,27.5,67.9,25.66
143,措备,2023-07-06,27.5,62.3,22.29
143,措备,2023-07-07,21.9,86.8,3.19
143,措备,2023-07-08,23.1,84.5,10.56
143,措备,2023-07-09,26.6,78,15.1
143,措备,2023-07-10,28.3,74.6,19.68
143,措备,2023-07-11,24.8,89.5,7.85
143,措备,2023-07-12,27.3,79.8,18.21
143,措备,2023-07-13,26.5,85.9,5.42
143,措备,2023-07-14,25.6,88.9,3.12
143,措备,2023-07-15,27,81.3,6.16
143,措备,2023-07-16,24.4,91.6,8.56
143,措备,2023-07-17,26.7,84.6,19.07
143,措备,2023-07-18,23.7,96.4,3.11
143,措备,2023-07-19,25.7,78.5,25.45
143,措备,2023-07-20,27.6,73.6,21.45
143,措备,2023-07-21,26.7,78.5,20.99
143,措备,2023-07-22,25.4,77.3,14.48
143,措备,2023-07-23,27.5,75.9,9.68
143,措备,2023-07-24,26.6,85.4,12.7
143,措备,2023-07-25,27.3,78.1,15.69
143,措备,2023-07-26,27.2,78.3,15.72
143,措备,2023-07-27,27.9,76,20.34
143,措备,2023-07-28,29.4,71.5,18.41
143,措备,2023-07-29,30.1,65.5,20.99
143,措备,2023-07-30,29.8,65.4,23.15
143,措备,2023-07-31,29.6,65.9,17.62
143,措备,2023-08-01,29.7,64.8,23.23
143,措备,2023-08-02,30,64.1,20.37
143,措备,2023-08-03,31.5,62.1,24.16
143,措备,2023-08-04,30.5,66,13.92
143,措备,2023-08-05,31.5,64.3,23.28
143,措备,2023-08-06,30.4,67.5,23.88
143,措备,2023-08-07,29.5,69.6,24.28
143,措备,2023-08-08,28.4,72.8,22.19
143,措备,2023-08-09,25.4,89.4,2.77
143,措备,2023-08-10,25.1,83.5,3.99
143,措备,2023-08-11,27.5,66.8,23.02
143,措备,2023-08-12,27.1,71.8,15.46
143,措备,2023-08-13,27.2,73.4,22.09
143,措备,2023-08-14,26.8,74.3,22.84
143,措备,2023-08-15,27.5,70.8,25.51
143,措备,2023-08-16,27,74.6,16.4
143,措备,2023-08-17,25.9,78.6,15.72
143,措备,2023-08-18,25.7,84,11.47
143,措备,2023-08-19,27.3,82,14.1
143,措备,2023-08-20,27.3,84.9,15.18
143,措备,2023-08-21,28.9,74.4,22.22
143,措备,2023-08-22,28.8,72.3,23.4
143,措备,2023-08-23,28.6,72.3,22.34
143,措备,2023-08-24,25,91.5,10.16
143,措备,2023-08-25,27.4,70.5,20.62
143,措备,2023-08-26,26.6,68.4,23.97
143,措备,2023-08-27,25.5,78.6,17.92
143,措备,2023-08-28,25.5,80.5,13.2
143,措备,2023-08-29,25.7,88.6,4.92
143,措备,2023-08-30,24.7,95,3.39
143,措备,2023-08-31,23.3,89.8,8.68
143,措备,2023-09-01,25.8,76.6,18.51
143,措备,2023-09-02,24.9,79.8,14.27
143,措备,2023-09-03,26.6,76.4,19.54
143,措备,2023-09-04,26.4,76.8,19.95
143,措备,2023-09-05,26.1,65.5,21.37
143,措备,2023-09-06,25.2,69.3,19.87
143,措备,2023-09-07,23.6,67.3,23.28
143,措备,2023-09-08,23.3,67.5,18.37
143,措备,2023-09-09,23.4,68.1,23.75
143,措备,2023-09-10,24,69.8,21.65
143,措备,2023-09-11,25.6,68.9,17.86
143,措备,2023-09-12,26.1,74.6,
143,措备,2023-09-13,24.7,84.1,
143,措备,2023-09-14,22.6,89.5,4.39
143,措备,2023-09-15,22.8,92.3,3.87
143,措备,2023-09-16,23.1,94.6,3.36
143,措备,2023-09-17,24.6,87,11.05
143,措备,2023-09-18,26.1,76.8,17.01
143,措备,2023-09-19,25.2,71.4,18.52
143,措备,2023-09-20,22,89.4,3.97
143,措备,2023-09-21,19.5,91,6.12
143,措备,2023-09-22,21.1,73.1,16.79
143,措备,2023-09-23,19.9,74,16.32
143,措备,2023-09-24,20.4,66.3,19.68
143,措备,2023-09-25,21.1,78.4,10.92
143,措备,2023-09-26,20.8,95,2.33
143,措备,2023-09-27,23.8,79.6,10.1
143,措备,2023-09-28,23.6,69.8,16.87
143,措备,2023-09-29,21.8,74.6,15.32
143,措备,2023-09-30,20,71.6,14.16
143,措备,2023-10-01,19.2,59.1,20.41
143,措备,2023-10-02,17.6,62.3,19.92
143,措备,2023-10-03,16.1,81.6,7.06
143,措备,2023-10-04,19.1,69.8,17.69
143,措备,2023-10-05,16.7,38.6,18.99
143,措备,2023-10-06,16.5,53.5,18.53
143,措备,2023-10-07,17.1,68.5,10.85
143,措备,2023-10-08,17.3,70.8,6.18
143,措备,2023-10-09,18.3,73.1,10.6
