지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
133,대전,2013-01-01,-3.6,93.3,4.36
133,대전,2013-01-02,-8.1,66.4,4.83
133,대전,2013-01-03,-11.2,67.1,9.32
133,대전,2013-01-04,-10.5,65.9,13.14
133,대전,2013-01-05,-6.8,73.4,11.62
133,대전,2013-01-06,-4.9,66,9.83
133,대전,2013-01-07,-5,66.4,10.99
133,대전,2013-01-08,-4.2,68,11.16
133,대전,2013-01-09,-6.3,59.5,12.34
133,대전,2013-01-10,-7.9,54.9,12.69
133,대전,2013-01-11,-5.3,70,11.05
133,대전,2013-01-12,0,80.4,8.72
133,대전,2013-01-13,-.8,84.3,4.91
133,대전,2013-01-14,-1.6,75.5,7.86
133,대전,2013-01-15,-2.2,73.4,10.31
133,대전,2013-01-16,-2.1,83.3,4.25
133,대전,2013-01-17,-4,69.9,7.5
133,대전,2013-01-18,-3.9,72,13.81
133,대전,2013-01-19,0,77.3,8.85
133,대전,2013-01-20,1.9,75.4,8.96
133,대전,2013-01-21,3.7,96,1.23
133,대전,2013-01-22,3.1,98.1,2.22
133,대전,2013-01-23,2.4,95.5,1.72
133,대전,2013-01-24,.2,79.3,2.32
133,대전,2013-01-25,-5.1,48,13.9
133,대전,2013-01-26,-6,55,14.36
133,대전,2013-01-27,-5.1,68.4,11.35
133,대전,2013-01-28,-1.9,74.3,12.49
133,대전,2013-01-29,2.1,82.8,6.3
133,대전,2013-01-30,4.3,76.8,12.08
133,대전,2013-01-31,6.7,69.1,11.2
133,대전,2013-02-01,8.3,98.4,1.19
133,대전,2013-02-02,1.4,64.8,13.54
133,대전,2013-02-03,-1.6,73.6,3.51
133,대전,2013-02-04,.5,87.9,8.6
133,대전,2013-02-05,-.1,93.8,2.28
133,대전,2013-02-06,.1,87.1,4.25
133,대전,2013-02-07,-7.4,61.9,13.05
133,대전,2013-02-08,-9.4,53.6,15.62
133,대전,2013-02-09,-6.1,67.9,13.89
133,대전,2013-02-10,-2.8,72.5,7.56
133,대전,2013-02-11,-3.7,47.6,16.36
133,대전,2013-02-12,-2.4,65.3,6.12
133,대전,2013-02-13,-1,67.6,17.01
133,대전,2013-02-14,1.7,61,12.6
133,대전,2013-02-15,.4,51.4,16.62
133,대전,2013-02-16,-1.9,44.3,17.48
133,대전,2013-02-17,1.8,54.9,5.57
133,대전,2013-02-18,2.5,57.6,10.12
133,대전,2013-02-19,-1.2,38.8,17.15
133,대전,2013-02-20,-2.7,41.8,18.29
133,대전,2013-02-21,-.3,49.9,17.37
133,대전,2013-02-22,.4,80.8,4.41
133,대전,2013-02-23,-.6,56.6,18.76
133,대전,2013-02-24,1.4,56.5,15.95
133,대전,2013-02-25,2.8,50.5,12.84
133,대전,2013-02-26,5.4,54.6,6.13
133,대전,2013-02-27,6.8,56.6,17.96
133,대전,2013-02-28,8.7,47,16.43
133,대전,2013-03-01,3.3,65.6,16.18
133,대전,2013-03-02,-.1,54.4,18.87
133,대전,2013-03-03,1.3,61.5,19.93
133,대전,2013-03-04,3.5,59.3,16.08
133,대전,2013-03-05,4.5,52.5,19.27
133,대전,2013-03-06,8.9,45,15.73
133,대전,2013-03-07,10.2,72.3,7.48
133,대전,2013-03-08,9.4,73.6,13
133,대전,2013-03-09,14.9,58.6,17.95
133,대전,2013-03-10,4.6,41.6,22.2
133,대전,2013-03-11,5.2,41.4,22.02
133,대전,2013-03-12,9.3,60.4,12.55
133,대전,2013-03-13,6.1,81.6,4.76
133,대전,2013-03-14,5.4,61.5,18.12
133,대전,2013-03-15,5.7,56.5,21.57
133,대전,2013-03-16,7.6,42.5,19.79
133,대전,2013-03-17,9.5,58.9,16.37
133,대전,2013-03-18,8.5,88.8,6.35
133,대전,2013-03-19,11.4,71,15.69
133,대전,2013-03-20,5.9,65,8.55
133,대전,2013-03-21,2.8,48.1,23.15
133,대전,2013-03-22,4.8,66,14.16
133,대전,2013-03-23,7.6,53,22.71
133,대전,2013-03-24,5.9,54.3,20.6
133,대전,2013-03-25,3.5,50.4,24.26
133,대전,2013-03-26,5.4,47,21.23
133,대전,2013-03-27,9.5,40.5,24.03
