瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
159,何魂,2013-01-01,2.6,48.5,8.99
159,何魂,2013-01-02,.3,40.9,10.3
159,何魂,2013-01-03,-5.1,26.3,10.77
159,何魂,2013-01-04,-2.6,24.6,11.36
159,何魂,2013-01-05,-.7,26.4,11.14
159,何魂,2013-01-06,.9,33.6,11.1
159,何魂,2013-01-07,2.4,17.6,11.58
159,何魂,2013-01-08,2,27.1,10.78
159,何魂,2013-01-09,-.7,25.5,11.21
159,何魂,2013-01-10,-1.8,22.4,12.23
159,何魂,2013-01-11,.8,23.8,11.85
159,何魂,2013-01-12,5.6,40.3,11.17
159,何魂,2013-01-13,5.4,51,3.42
159,何魂,2013-01-14,5.5,43.1,10.88
159,何魂,2013-01-15,5.1,49.1,10.21
159,何魂,2013-01-16,5.1,46.8,10.22
159,何魂,2013-01-17,.5,48.9,8.34
159,何魂,2013-01-18,.7,32.1,12.41
159,何魂,2013-01-19,2.6,39.8,11.85
159,何魂,2013-01-20,6,49.6,8.32
159,何魂,2013-01-21,8,83.3,.76
159,何魂,2013-01-22,6.7,76,4.09
159,何魂,2013-01-23,5.5,72.3,5.73
159,何魂,2013-01-24,3.6,56.6,8.56
159,何魂,2013-01-25,-.1,26.5,13.34
159,何魂,2013-01-26,-1.4,24.9,14.02
159,何魂,2013-01-27,-1.8,33.3,13.16
159,何魂,2013-01-28,1.2,33,13.83
159,何魂,2013-01-29,5.5,48.8,11.34
159,何魂,2013-01-30,7.7,55,11.25
159,何魂,2013-01-31,9.2,63.8,7.04
159,何魂,2013-02-01,11.6,84.6,.25
159,何魂,2013-02-02,8.9,39.5,12.88
159,何魂,2013-02-03,5.6,48.4,7.6
159,何魂,2013-02-04,6.8,67.5,9.22
159,何魂,2013-02-05,6.3,66.9,2.92
159,何魂,2013-02-06,5.2,64.6,14.52
159,何魂,2013-02-07,-1.2,34.3,11.19
159,何魂,2013-02-08,-4.3,31.3,14.24
159,何魂,2013-02-09,-.5,28.1,14.28
159,何魂,2013-02-10,2.2,36.4,14.29
159,何魂,2013-02-11,2.2,38.8,14.61
159,何魂,2013-02-12,2.8,61.3,3.37
159,何魂,2013-02-13,2.1,37,15.64
159,何魂,2013-02-14,6,30.5,12.27
159,何魂,2013-02-15,5.9,21.4,14.79
159,何魂,2013-02-16,1.6,24.3,16.92
159,何魂,2013-02-17,5,59.3,4.01
159,何魂,2013-02-18,6,76.8,1.95
159,何魂,2013-02-19,3.7,47,6.74
159,何魂,2013-02-20,1.3,20,17.71
159,何魂,2013-02-21,3.3,27.5,16.42
159,何魂,2013-02-22,5.6,32.3,14.95
159,何魂,2013-02-23,3.3,28.5,18.29
159,何魂,2013-02-24,4.8,27.1,16.81
159,何魂,2013-02-25,7.7,27.6,16.78
159,何魂,2013-02-26,8.3,56,.17
159,何魂,2013-02-27,9.8,51.5,13.38
159,何魂,2013-02-28,11.6,40.3,16.95
159,何魂,2013-03-01,9.7,52.3,8.6
159,何魂,2013-03-02,2.9,42.8,17.99
159,何魂,2013-03-03,5.9,28.3,19.01
159,何魂,2013-03-04,7,30.8,16.62
159,何魂,2013-03-05,8.3,34.3,19.53
159,何魂,2013-03-06,11.1,34.6,16.89
159,何魂,2013-03-07,13.1,67.3,6.83
159,何魂,2013-03-08,13.2,56,13.24
159,何魂,2013-03-09,14.6,60.4,16.53
159,何魂,2013-03-10,11.5,62.3,16.43
159,何魂,2013-03-11,8.5,53.8,15.46
159,何魂,2013-03-12,11.5,64.9,17.99
159,何魂,2013-03-13,10.5,80,1.16
159,何魂,2013-03-14,5.8,59.3,11.88
159,何魂,2013-03-15,8.6,58.8,20.37
159,何魂,2013-03-16,11.8,37.6,17.04
159,何魂,2013-03-17,11.7,64.5,12.83
159,何魂,2013-03-18,13.7,78,15.3
159,何魂,2013-03-19,13,65.5,16.03
159,何魂,2013-03-20,11.5,59.4,12.64
159,何魂,2013-03-21,5.4,37.8,21.73
159,何魂,2013-03-22,9.5,45.1,10.69
159,何魂,2013-03-23,10.5,49.9,20.39
159,何魂,2013-03-24,11.4,51.8,15.12
159,何魂,2013-03-25,8.7,45.5,19.75
159,何魂,2013-03-26,9.1,49.1,19.57
159,何魂,2013-03-27,11.8,53.1,20.29
159,何魂,2013-03-28,13.7,45.9,20.58
159,何魂,2013-03-29,10.8,48.3,20.03
159,何魂,2013-03-30,11.2,50,16.33
159,何魂,2013-03-31,9.9,61,14.88
159,何魂,2013-04-01,11.8,50,19.18
159,何魂,2013-04-02,12.8,54.4,17
159,何魂,2013-04-03,12.3,48.4,23.5
159,何魂,2013-04-04,14,41.5,17.03
159,何魂,2013-04-05,13.2,65.3,15.98
159,何魂,2013-04-06,11.4,83.5,2.86
159,何魂,2013-04-07,7.9,49.6,18.66
159,何魂,2013-04-08,10.4,35.6,22.34
159,何魂,2013-04-09,11.2,24.6,23.34
159,何魂,2013-04-10,7.5,32.9,19.41
159,何魂,2013-04-11,9.8,28.5,23.37
159,何魂,2013-04-12,9.8,28.3,25.02
159,何魂,2013-04-13,12.3,43.3,23.59
159,何魂,2013-04-14,15.4,51,14.12
159,何魂,2013-04-15,11.6,37.4,19.51
159,何魂,2013-04-16,17,75.6,18.37
159,何魂,2013-04-17,11.9,74.3,7.24
159,何魂,2013-04-18,13.3,67.8,18.16
159,何魂,2013-04-19,10.1,44.9,16.74
159,何魂,2013-04-20,7.6,69.6,3.68
159,何魂,2013-04-21,10.6,57.1,24.88
159,何魂,2013-04-22,13,45.3,25.33
159,何魂,2013-04-23,12.6,75.1,2.22
159,何魂,2013-04-24,17.6,58.6,21.59
159,何魂,2013-04-25,15.6,42.4,24.15
159,何魂,2013-04-26,14.6,30.8,21.96
159,何魂,2013-04-27,14.3,39.8,18.6
159,何魂,2013-04-28,16,46.5,22.78
159,何魂,2013-04-29,16.5,74.6,5.71
159,何魂,2013-04-30,15.1,30.9,16.85
159,何魂,2013-05-01,12.1,56.6,14.48
159,何魂,2013-05-02,13.1,62.9,22.24
159,何魂,2013-05-03,13.9,62.4,23.22
