지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
108,서울,2018-01-01,-1.3,39.1,6.14
108,서울,2018-01-02,-1.8,42,5.36
108,서울,2018-01-03,-4.7,42.3,6.56
108,서울,2018-01-04,-4.7,43,4.73
108,서울,2018-01-05,-3,48.4,5.96
108,서울,2018-01-06,-2.8,45.8,6.79
108,서울,2018-01-07,-.8,42.1,3.75
108,서울,2018-01-08,1.3,51.9,2.39
108,서울,2018-01-09,-4.2,59.4,5.6
108,서울,2018-01-10,-7.5,52,6.85
108,서울,2018-01-11,-11.1,49.8,6.8
108,서울,2018-01-12,-10.2,35.4,7.11
108,서울,2018-01-13,-4.4,67.3,2.8
108,서울,2018-01-14,.6,64.1,4.55
108,서울,2018-01-15,4.7,63.9,4.67
108,서울,2018-01-16,3.5,59.1,2.4
108,서울,2018-01-17,4.5,64.1,4.17
108,서울,2018-01-18,2.1,59.6,
108,서울,2018-01-19,1,43,6.56
108,서울,2018-01-20,2.2,57.6,4.51
108,서울,2018-01-21,.4,36.6,5.88
108,서울,2018-01-22,.2,56.5,1.91
108,서울,2018-01-23,-11.7,42,7.62
108,서울,2018-01-24,-14.2,31.6,7.73
108,서울,2018-01-25,-14,32.6,7.28
108,서울,2018-01-26,-14.8,34.9,
108,서울,2018-01-27,-9.9,37.4,7.5
108,서울,2018-01-28,-6.3,36,6.38
108,서울,2018-01-29,-8.5,35,7.68
108,서울,2018-01-30,-5.3,62,5.41
108,서울,2018-01-31,-2.6,54.5,3.9
108,서울,2018-02-01,-4,44.1,8.09
108,서울,2018-02-02,-2.4,51.1,7.29
108,서울,2018-02-03,-7.3,47,13.65
108,서울,2018-02-04,-9.5,40.9,13.65
108,서울,2018-02-05,-9.4,37.8,14.31
108,서울,2018-02-06,-10.1,36.5,14.13
108,서울,2018-02-07,-8,39.8,13.39
108,서울,2018-02-08,-4.4,43.3,13.05
108,서울,2018-02-09,.4,43.9,6.56
108,서울,2018-02-10,-.5,47.4,9.41
108,서울,2018-02-11,-6.1,42.5,12.26
108,서울,2018-02-12,-5.8,40.8,13.74
108,서울,2018-02-13,-.8,54.5,13.72
108,서울,2018-02-14,3.5,51,6.92
108,서울,2018-02-15,-.7,28,
108,서울,2018-02-16,-1.1,40.1,14.1
108,서울,2018-02-17,-3,25.6,15.8
108,서울,2018-02-18,-.4,26.9,11.22
108,서울,2018-02-19,1.8,48.6,10.08
108,서울,2018-02-20,.9,41,13.56
108,서울,2018-02-21,-.9,31.5,15.28
108,서울,2018-02-22,1.3,59,9.45
108,서울,2018-02-23,4.2,81.1,9.43
108,서울,2018-02-24,2.4,49.4,13.09
108,서울,2018-02-25,1.9,40.6,16.17
108,서울,2018-02-26,3.1,43.1,16.36
108,서울,2018-02-27,4.2,48.8,2.86
108,서울,2018-02-28,4.6,73.3,1.71
108,서울,2018-03-01,-.2,61.9,17.94
108,서울,2018-03-02,-.7,34,19.03
108,서울,2018-03-03,7.9,38.1,18.04
108,서울,2018-03-04,9.8,89.1,3.92
108,서울,2018-03-05,5.5,67.5,13.8
108,서울,2018-03-06,4.5,46.8,17.85
108,서울,2018-03-07,6.4,54,10.76
108,서울,2018-03-08,4.6,76,10.3
108,서울,2018-03-09,4.5,63.3,10.22
108,서울,2018-03-10,4.6,65.8,16.45
108,서울,2018-03-11,6.4,51.3,18.11
108,서울,2018-03-12,8,45.8,13.92
108,서울,2018-03-13,12.4,60.5,14.17
108,서울,2018-03-14,17,58.8,15.46
108,서울,2018-03-15,12.4,92.1,1.47
108,서울,2018-03-16,7.1,46.9,21.16
108,서울,2018-03-17,6.6,48,17.87
108,서울,2018-03-18,8.2,55.9,7.19
108,서울,2018-03-19,8,64.5,3.33
108,서울,2018-03-20,4.7,39.9,14.36
108,서울,2018-03-21,2.1,64.1,6.13
108,서울,2018-03-22,4.9,61.5,20.45
108,서울,2018-03-23,6.1,55.3,19.08
108,서울,2018-03-24,7.6,61.9,15.35
108,서울,2018-03-25,9.6,65.6,19.12
108,서울,2018-03-26,11,64.5,19.06
108,서울,2018-03-27,13.3,61.1,15.98
108,서울,2018-03-28,14,66.4,13.94
108,서울,2018-03-29,15.4,66.3,14.86
108,서울,2018-03-30,14.8,55.6,20.01
108,서울,2018-03-31,14,52.9,17.08
108,서울,2018-04-01,15.6,68.8,7.25
108,서울,2018-04-02,18.4,64,14.14
108,서울,2018-04-03,17.8,72.9,6.88
108,서울,2018-04-04,13.4,67,19.56
108,서울,2018-04-05,7.6,90.6,2.15
108,서울,2018-04-06,5.8,71.6,11.19
108,서울,2018-04-07,4.2,45.5,18.24
108,서울,2018-04-08,3.9,59.6,7.93
108,서울,2018-04-09,7.9,57.9,21.52
108,서울,2018-04-10,15.1,51,17.52
108,서울,2018-04-11,12.6,49.4,24.86
108,서울,2018-04-12,13.3,30.5,24.56
108,서울,2018-04-13,14.6,22.9,12.68
108,서울,2018-04-14,9,78.8,3.49
108,서울,2018-04-15,9.5,65.5,17.29
