瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
239,技辆,2023-01-01,-.8,53.3,
239,技辆,2023-01-02,-3.3,40.9,
239,技辆,2023-01-03,-3.7,54.8,
239,技辆,2023-01-04,-1.8,56.1,
239,技辆,2023-01-05,-1.5,68.5,
239,技辆,2023-01-06,.8,74.9,
239,技辆,2023-01-07,2.9,59.5,
239,技辆,2023-01-08,.6,66.8,
239,技辆,2023-01-09,1.7,62.4,
239,技辆,2023-01-10,.7,58.3,
239,技辆,2023-01-11,1.8,56.5,
239,技辆,2023-01-12,4.9,52.6,
239,技辆,2023-01-13,8.7,92.5,
239,技辆,2023-01-14,7.2,94.9,
239,技辆,2023-01-15,.3,80.8,
239,技辆,2023-01-16,-3.3,59.6,
239,技辆,2023-01-17,-2.5,60.3,
239,技辆,2023-01-18,-.9,61.4,
239,技辆,2023-01-19,.5,61.1,
239,技辆,2023-01-20,-2,51.8,11.99
239,技辆,2023-01-21,-3.7,60.1,12.69
239,技辆,2023-01-22,-.4,59.6,5.38
239,技辆,2023-01-23,.3,67.5,10.57
239,技辆,2023-01-24,-11.4,58.9,10.07
239,技辆,2023-01-25,-11.5,51.9,13.51
239,技辆,2023-01-26,-6.9,80.5,2.44
239,技辆,2023-01-27,-6.8,64.5,14.6
239,技辆,2023-01-28,-5.9,67.6,11.25
239,技辆,2023-01-29,-1.7,69.9,11.31
239,技辆,2023-01-30,-.9,49.8,13.78
239,技辆,2023-01-31,1.8,63.3,12.64
239,技辆,2023-02-03,-1.1,47.3,11.8
239,技辆,2023-02-04,-1.1,62.5,13.22
239,技辆,2023-02-05,0,68.9,13.82
239,技辆,2023-02-06,1.8,61.1,11.92
239,技辆,2023-02-07,2.5,60.9,10.9
239,技辆,2023-02-08,1.5,59.3,13.93
239,技辆,2023-02-09,3.1,59.1,10.63
239,技辆,2023-02-10,3.2,84,4.76
239,技辆,2023-02-11,.2,92.9,5.04
239,技辆,2023-02-12,1.1,86.4,5.31
239,技辆,2023-02-13,5.8,65.8,6.9
239,技辆,2023-02-14,1.2,60.9,14.99
239,技辆,2023-02-15,2.7,61.1,12.17
239,技辆,2023-02-16,2.6,67.6,7.25
239,技辆,2023-02-17,3.9,58.1,12.65
239,技辆,2023-02-18,6.1,57,2.76
239,技辆,2023-02-19,3.2,63.3,12.33
239,技辆,2023-02-20,-.7,50,16.75
239,技辆,2023-02-21,-1.5,41.1,17.2
239,技辆,2023-02-22,1.5,56.4,15.17
239,技辆,2023-02-23,2.9,53,15.62
239,技辆,2023-02-24,2.6,53.4,15.38
239,技辆,2023-02-25,.2,46.9,17.62
239,技辆,2023-02-26,1.5,45.4,17.94
239,技辆,2023-02-27,3.8,49.6,18
239,技辆,2023-02-28,5,62.8,18.45
239,技辆,2023-03-01,5.8,58.3,9.84
239,技辆,2023-03-02,2.1,29.5,18.61
239,技辆,2023-03-03,3.5,54.9,17.58
239,技辆,2023-03-04,6.1,58.8,13.6
239,技辆,2023-03-05,7.4,45.1,16.44
239,技辆,2023-03-06,8.1,43.5,18.37
239,技辆,2023-03-07,11.3,48,15.54
239,技辆,2023-03-08,13.8,45.8,16.84
239,技辆,2023-03-09,14,57,14.99
239,技辆,2023-03-10,13.5,56.5,16.95
239,技辆,2023-03-11,16,37.3,16.87
239,技辆,2023-03-12,6.4,65.1,2.41
239,技辆,2023-03-13,3.2,35.9,20.5
239,技辆,2023-03-14,8.5,45.5,20.32
239,技辆,2023-03-15,11,60.3,14.82
239,技辆,2023-03-16,5.8,27.4,17.59
239,技辆,2023-03-17,6.9,40.8,9.57
239,技辆,2023-03-18,8.3,37,18.23
239,技辆,2023-03-19,7.9,50.1,20.44
239,技辆,2023-03-20,9.7,43.1,20.25
239,技辆,2023-03-21,12.8,36.8,21.31
239,技辆,2023-03-22,16.6,46,17.93
239,技辆,2023-03-23,14.4,73.1,8.89
239,技辆,2023-03-24,11.7,53.9,16.11
239,技辆,2023-03-25,10.8,66.5,8.7
239,技辆,2023-03-26,8.9,41.4,22.01
239,技辆,2023-03-27,6.8,44,22.53
239,技辆,2023-03-28,8.1,51.4,14.95
239,技辆,2023-03-29,11.3,48,21.1
239,技辆,2023-03-30,13.3,36.5,20.24
239,技辆,2023-03-31,14.1,34.6,21.94
239,技辆,2023-04-01,16.1,36.1,21.76
239,技辆,2023-04-02,16.9,29.4,23.06
239,技辆,2023-04-03,16.8,29,22.72
239,技辆,2023-04-04,15.1,52.8,13.37
239,技辆,2023-04-05,12.1,92.9,3.13
239,技辆,2023-04-06,8.8,89.5,2.74
239,技辆,2023-04-07,8.3,64.3,20.9
239,技辆,2023-04-08,7.9,48.5,24.92
239,技辆,2023-04-09,9.6,57.1,24.61
239,技辆,2023-04-10,11.9,52.6,23.42
239,技辆,2023-04-11,14.8,69.5,7.72
239,技辆,2023-04-12,10.5,34.4,24.84
239,技辆,2023-04-13,12.6,35,14.84
239,技辆,2023-04-14,15.4,40.3,18.99
239,技辆,2023-04-15,12.3,77.9,7.27
239,技辆,2023-04-16,9.9,75.1,13.82
239,技辆,2023-04-17,12.5,60.1,22.87
239,技辆,2023-04-18,13.4,81.1,2.83
239,技辆,2023-04-19,19.4,69.8,25.73
239,技辆,2023-04-20,18.8,77.3,13.18
239,技辆,2023-04-21,17.1,63.6,18.25
239,技辆,2023-04-22,16,33.9,20.25
239,技辆,2023-04-23,15.9,37.9,18.51
239,技辆,2023-04-24,14.6,47.5,17.57
239,技辆,2023-04-25,9.2,78.4,4.57
239,技辆,2023-04-26,8.5,73.9,22.23
239,技辆,2023-04-27,12,56.1,26.06
239,技辆,2023-04-28,15.6,59.3,23.4
239,技辆,2023-04-29,13.6,83.4,4.12
239,技辆,2023-04-30,12.8,63.9,25.42
239,技辆,2023-05-01,14,52.1,23.83
239,技辆,2023-05-02,16.4,45.9,25.24
239,技辆,2023-05-03,18.5,50.3,23.09
239,技辆,2023-05-04,19.7,66.6,17.25
239,技辆,2023-05-05,18.9,96,3.28
239,技辆,2023-05-06,14.4,94.6,3.3
239,技辆,2023-05-07,12.1,74.6,8.56
239,技辆,2023-05-08,13.1,64.6,25.81
239,技辆,2023-05-09,15.5,58.3,27.9
239,技辆,2023-05-10,16.6,58,24.67
239,技辆,2023-05-11,18.1,55,26.83
239,技辆,2023-05-12,17.4,52.3,18.96
239,技辆,2023-05-13,17.5,59.1,22.45
239,技辆,2023-05-14,17.3,58.6,26.88
239,技辆,2023-05-15,19.7,56.4,26.96
239,技辆,2023-05-16,22.6,50.3,26.81
239,技辆,2023-05-17,22.6,53.5,27.3
239,技辆,2023-05-18,19.1,69.8,6.9
239,技辆,2023-05-19,20.4,64.6,18.04
239,技辆,2023-05-20,20.1,71.6,26.34
239,技辆,2023-05-21,18.1,72.9,18.31
239,技辆,2023-05-22,17.2,72.5,13.38
239,技辆,2023-05-23,17.8,64.9,26.77
239,技辆,2023-05-24,19.3,58.4,20.23
239,技辆,2023-05-25,20.4,50.3,25.93
239,技辆,2023-05-26,21.2,59.3,23.64
239,技辆,2023-05-27,19.9,87.1,5.32
239,技辆,2023-05-28,20,92.4,3.97
239,技辆,2023-05-29,20.6,91.9,5.78
239,技辆,2023-05-30,21.5,75.1,21.97
239,技辆,2023-05-31,22,58.6,28.47
239,技辆,2023-06-01,21.7,73.5,15.05
239,技辆,2023-06-02,20.9,75.4,23.18
239,技辆,2023-06-03,21.1,57.1,29.41
239,技辆,2023-06-04,21.9,54.1,28.63
239,技辆,2023-06-05,20.9,66.3,24.63
239,技辆,2023-06-06,20.3,68.1,27.75
239,技辆,2023-06-07,21.3,73.9,19.37
239,技辆,2023-06-08,21.6,75.1,20.16
239,技辆,2023-06-09,23.1,60.5,27.96
239,技辆,2023-06-10,23.4,63,22.61
239,技辆,2023-06-11,22.8,72.6,23.52
239,技辆,2023-06-12,22.6,69.3,23.98
239,技辆,2023-06-13,22.2,68.6,22.87
239,技辆,2023-06-14,21.7,69.4,24.58
239,技辆,2023-06-15,21.8,69.4,22.07
239,技辆,2023-06-16,23.6,63.8,28.99
239,技辆,2023-06-17,24.1,62.3,25.85
239,技辆,2023-06-18,25.1,56.8,26.6
239,技辆,2023-06-19,26.2,60.3,25.96
239,技辆,2023-06-20,23.5,64.4,13.14
239,技辆,2023-06-21,20.8,92.6,4.51
239,技辆,2023-06-22,22.5,76.3,22.02
239,技辆,2023-06-23,24.9,69.5,27.35
239,技辆,2023-06-24,26.2,68.4,26.45
239,技辆,2023-06-25,26.3,61.9,21.82
239,技辆,2023-06-26,23.8,91,6.86
239,技辆,2023-06-27,25.5,75.8,25.57
239,技辆,2023-06-28,23.6,83.8,13.21
239,技辆,2023-06-29,24.3,91.9,2.4
239,技辆,2023-06-30,24.3,91.6,9.67
239,技辆,2023-07-01,26.8,80.5,18.87
239,技辆,2023-07-02,27,79,19.45
239,技辆,2023-07-03,27.7,76.8,24.11
239,技辆,2023-07-04,24.7,90.9,5.1
239,技辆,2023-07-05,24.5,79.5,21.59
239,技辆,2023-07-06,25.7,70.6,24.12
239,技辆,2023-07-07,21.5,90.5,4.13
239,技辆,2023-07-08,24.1,86.8,14.22
239,技辆,2023-07-09,26.1,85.8,12.2
239,技辆,2023-07-10,26.1,80.4,22.44
239,技辆,2023-07-11,23.9,90.1,7.76
239,技辆,2023-07-12,26.2,86.3,17.17
239,技辆,2023-07-13,25.1,94,3.83
239,技辆,2023-07-14,24.5,94.9,2.11
239,技辆,2023-07-15,22.8,96.3,1.88
239,技辆,2023-07-16,24,91.6,9.2
239,技辆,2023-07-17,25.2,88.9,17.95
239,技辆,2023-07-18,23.2,95.8,3.66
239,技辆,2023-07-19,25.6,80.8,23.53
239,技辆,2023-07-20,26,81.3,22.21
239,技辆,2023-07-21,27.1,80.4,22.46
239,技辆,2023-07-22,25.4,82.6,10.32
239,技辆,2023-07-23,25,90.4,2.65
239,技辆,2023-07-24,25.8,87.6,14.81
239,技辆,2023-07-25,25.3,89.1,13.07
239,技辆,2023-07-26,25.2,89.1,20.63
239,技辆,2023-07-27,27.1,81.9,24.19
239,技辆,2023-07-28,28.6,77.9,26.77
239,技辆,2023-07-29,29.1,74.4,24.71
239,技辆,2023-07-30,27.5,81.4,18.81
239,技辆,2023-07-31,27.5,80.8,17.71
239,技辆,2023-08-01,29.2,76.6,23.22
239,技辆,2023-08-02,28.8,74.4,22.34
239,技辆,2023-08-03,28.9,71,24.32
239,技辆,2023-08-04,29.5,72.3,24.97
239,技辆,2023-08-05,29.2,70.8,22.07
239,技辆,2023-08-06,29.2,73.5,21.86
239,技辆,2023-08-07,29.5,72.1,22.01
239,技辆,2023-08-08,30.2,68.9,21.96
239,技辆,2023-08-09,26.9,78.4,11.06
239,技辆,2023-08-10,21.6,94.8,2.46
239,技辆,2023-08-11,25.1,84.5,15.32
239,技辆,2023-08-12,24.1,86.6,13.18
239,技辆,2023-08-13,26.7,83.5,18.56
239,技辆,2023-08-14,27.7,77,22.67
239,技辆,2023-08-15,27.8,76.8,22.78
239,技辆,2023-08-16,26.6,79.3,16.86
239,技辆,2023-08-17,26.7,78.5,19.69
239,技辆,2023-08-18,28,74.6,22.27
239,技辆,2023-08-19,28.1,75.3,21.9
239,技辆,2023-08-20,28.1,74.5,20.28
239,技辆,2023-08-21,28.4,76.4,21.04
239,技辆,2023-08-22,26.9,81.4,13.03
239,技辆,2023-08-23,26.2,88.8,11.62
239,技辆,2023-08-24,25.3,92.6,9.85
239,技辆,2023-08-25,25.6,77.3,24.7
239,技辆,2023-08-26,24.4,78.6,20.31
239,技辆,2023-08-27,26,77.6,16.36
239,技辆,2023-08-28,26.1,75.5,8.64
239,技辆,2023-08-29,24.4,89.1,4.73
239,技辆,2023-08-30,21.4,95.1,3.8
239,技辆,2023-08-31,22.2,84.4,16.12
239,技辆,2023-09-01,22.6,81.4,20.11
239,技辆,2023-09-02,24.5,75,22.67
239,技辆,2023-09-03,26.9,80.3,19.28
239,技辆,2023-09-04,27.2,79.6,14.31
239,技辆,2023-09-05,26.3,75.4,15.44
239,技辆,2023-09-06,26,71.5,20.63
239,技辆,2023-09-07,24.7,65.1,23.46
239,技辆,2023-09-08,22.8,67.5,23.31
239,技辆,2023-09-09,24,72.5,22.16
239,技辆,2023-09-10,24.7,73.4,21.26
239,技辆,2023-09-11,24.4,73.3,19.32
239,技辆,2023-09-12,24.1,75,15.33
239,技辆,2023-09-13,20.7,93,3.39
239,技辆,2023-09-14,22.1,87.8,8.45
239,技辆,2023-09-15,22.4,92.6,6.25
239,技辆,2023-09-16,22.9,94.1,8.2
239,技辆,2023-09-17,24.3,87.1,11.74
239,技辆,2023-09-18,23.6,86,14.15
239,技辆,2023-09-19,23,85.6,12.78
239,技辆,2023-09-20,20.9,95.3,1.54
239,技辆,2023-09-21,18.7,86,6.9
239,技辆,2023-09-22,18.4,81.8,17.89
239,技辆,2023-09-23,19.5,78.9,14.38
239,技辆,2023-09-24,20.7,65.1,18.95
239,技辆,2023-09-25,21.5,75.8,12.76
239,技辆,2023-09-26,20.6,96.3,2.39
239,技辆,2023-09-27,22,87,7.95
239,技辆,2023-09-28,22,79.6,15.33
239,技辆,2023-09-29,19.8,81.5,11.09
239,技辆,2023-09-30,18.4,81.9,15.19
239,技辆,2023-10-01,17.2,66.6,20.25
239,技辆,2023-10-02,16.6,67.8,19.35
239,技辆,2023-10-03,15.4,83,7.81
239,技辆,2023-10-04,17.7,76.4,15.85
239,技辆,2023-10-05,14.3,44.9,19.71
239,技辆,2023-10-06,14.2,65,17.45
239,技辆,2023-10-07,15.9,73.9,11.1
239,技辆,2023-10-08,17.4,67.3,9.06
239,技辆,2023-10-09,17.2,74.8,11.86
239,技辆,2023-10-10,16.4,77.1,16.67
239,技辆,2023-10-11,16.7,69,17.45
239,技辆,2023-10-12,16.3,68.1,16.62
239,技辆,2023-10-13,16.2,76.5,11.35
239,技辆,2023-10-14,14.7,84.3,12.69
239,技辆,2023-10-15,14.7,82.1,12.61
239,技辆,2023-10-16,14.7,66.4,16.7
239,技辆,2023-10-17,12.7,72,17.36
239,技辆,2023-10-18,14.1,74.4,15.34
239,技辆,2023-10-19,14.9,89.5,3.91
239,技辆,2023-10-20,12.1,61.3,15.79
239,技辆,2023-10-21,9.7,69.1,14.14
239,技辆,2023-10-22,11.6,74.8,14.47
239,技辆,2023-10-23,13.4,81.6,12.26
239,技辆,2023-10-24,14,81.6,12.12
239,技辆,2023-10-25,15.2,83.1,12.62
239,技辆,2023-10-26,16.5,82.1,11.45
239,技辆,2023-10-27,14.7,71.6,11.34
239,技辆,2023-10-28,12.8,81.1,12.45
239,技辆,2023-10-29,13.2,74.9,13.77
239,技辆,2023-10-30,14.1,77.4,13.64
239,技辆,2023-10-31,14.5,75.4,11.39
239,技辆,2023-11-01,18,76.3,8.18
239,技辆,2023-11-02,19.5,63.9,13.74
239,技辆,2023-11-03,19.4,78,11.31
239,技辆,2023-11-04,18.5,86.9,3.67
239,技辆,2023-11-05,19.4,78,7.1
239,技辆,2023-11-06,15.4,69.5,6.92
239,技辆,2023-11-07,8.2,61.9,12.96
239,技辆,2023-11-08,8.1,67.5,12.95
239,技辆,2023-11-09,11.8,77.1,7.9
239,技辆,2023-11-10,5.5,48.8,13.41
239,技辆,2023-11-11,2.2,59.8,7.1
239,技辆,2023-11-12,1.9,67.1,7.9
239,技辆,2023-11-13,2.6,66.4,13.43
239,技辆,2023-11-14,5.6,71.8,9.64
239,技辆,2023-11-15,7,72.9,11.04
239,技辆,2023-11-16,5.3,93,1.69
239,技辆,2023-11-17,2.4,79.3,6.37
239,技辆,2023-11-18,2.1,72.5,9.85
239,技辆,2023-11-19,7.8,72,9.54
239,技辆,2023-11-20,6.1,62.4,12.31
239,技辆,2023-11-21,6.1,63.6,12.1
239,技辆,2023-11-22,7.7,76.9,11.71
239,技辆,2023-11-23,11.5,63.5,10.44
239,技辆,2023-11-24,1.2,51.8,11.55
239,技辆,2023-11-25,-.8,41.5,12.13
239,技辆,2023-11-26,4.1,51.3,7.42
239,技辆,2023-11-27,7,86.3,4.42
239,技辆,2023-11-28,3.4,63,10.58
239,技辆,2023-11-29,2.4,70.5,6.95
239,技辆,2023-11-30,-2.2,57.3,11.12
239,技辆,2023-12-01,-1.3,62.9,11.1
239,技辆,2023-12-02,2.6,68.4,6.37
239,技辆,2023-12-03,2.6,53.8,10.94
239,技辆,2023-12-04,2.1,68.4,11.73
239,技辆,2023-12-05,3.7,72.4,8.35
239,技辆,2023-12-06,6.1,77.9,4.51
239,技辆,2023-12-07,6.7,58.9,10
239,技辆,2023-12-08,11.7,65,9.46
239,技辆,2023-12-09,14.8,75.4,7.56
239,技辆,2023-12-10,13.4,78.9,7.44
239,技辆,2023-12-11,12,84.5,.96
239,技辆,2023-12-12,7.4,76.4,4.56
239,技辆,2023-12-13,9.2,70.8,6.85
239,技辆,2023-12-14,9.9,81.5,1.37
239,技辆,2023-12-15,8.7,96.8,.82
239,技辆,2023-12-16,-1.6,81.3,7.21
239,技辆,2023-12-17,-8.3,65.5,10.77
