지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
152,울산,2010-01-01,-1.7,39.3,
152,울산,2010-01-02,2.5,57.3,
152,울산,2010-01-03,.1,34.6,
152,울산,2010-01-04,1.6,49.9,
152,울산,2010-01-05,-2.1,42.5,
152,울산,2010-01-06,-3.8,37.8,
152,울산,2010-01-07,-3.5,48.1,
152,울산,2010-01-08,-1.3,46.6,
152,울산,2010-01-09,1,41.3,
152,울산,2010-01-10,1.3,55.9,
152,울산,2010-01-11,1.3,50.9,
152,울산,2010-01-12,-2.5,37.8,
152,울산,2010-01-13,-5.1,38.8,
152,울산,2010-01-14,-3.3,47,
152,울산,2010-01-15,-.1,55.1,
152,울산,2010-01-16,.5,35.9,
152,울산,2010-01-17,.8,29.6,
152,울산,2010-01-18,2.6,42,
152,울산,2010-01-19,6.6,60.9,
152,울산,2010-01-20,13.3,88.3,
152,울산,2010-01-21,6.6,57.5,
152,울산,2010-01-22,-.8,36.8,
152,울산,2010-01-23,-.4,41.1,
152,울산,2010-01-24,3,42.9,
152,울산,2010-01-25,2.9,39.8,
152,울산,2010-01-26,.8,31.1,
152,울산,2010-01-27,4.2,65.9,
152,울산,2010-01-28,6.9,54.4,
152,울산,2010-01-29,3.4,37.4,
152,울산,2010-01-30,5,45,
152,울산,2010-01-31,6.1,54.4,
152,울산,2010-02-01,4.8,66.1,
152,울산,2010-02-02,1.1,31.3,
152,울산,2010-02-03,-2.3,25.5,
152,울산,2010-02-04,-.7,36.6,
152,울산,2010-02-05,1.6,34.5,
152,울산,2010-02-06,.1,33.3,
152,울산,2010-02-07,3.5,58.3,
152,울산,2010-02-08,6.7,92.5,
152,울산,2010-02-09,6.6,97.9,
152,울산,2010-02-10,6.8,97,
152,울산,2010-02-11,3.6,91.3,
152,울산,2010-02-12,1.5,86.1,
152,울산,2010-02-13,.7,82.6,
152,울산,2010-02-14,.7,59.8,
152,울산,2010-02-15,3.1,61.8,
152,울산,2010-02-16,1.5,62.3,
152,울산,2010-02-17,1.7,36.6,
152,울산,2010-02-18,1.3,37.1,
152,울산,2010-02-19,1.7,43.4,
152,울산,2010-02-20,3.5,50.4,
152,울산,2010-02-21,5.3,61,
152,울산,2010-02-22,8.8,63.9,
152,울산,2010-02-23,8.5,69.3,
152,울산,2010-02-24,12.3,74,
152,울산,2010-02-25,15.6,90.4,
152,울산,2010-02-26,8,89.3,
152,울산,2010-02-27,6.5,77.1,
152,울산,2010-02-28,9.4,77.4,
152,울산,2010-03-01,6.5,91.4,
152,울산,2010-03-02,6.4,85.3,
152,울산,2010-03-03,6.5,64.5,
152,울산,2010-03-04,7.6,91,
152,울산,2010-03-05,8,91.9,
152,울산,2010-03-06,6.7,83.9,
152,울산,2010-03-07,4.2,74.3,
152,울산,2010-03-08,3.7,76.1,
152,울산,2010-03-09,2,93.6,
152,울산,2010-03-10,.3,77.5,
152,울산,2010-03-11,4.2,54.8,
152,울산,2010-03-12,10.8,63.8,
152,울산,2010-03-13,9.8,51.4,
152,울산,2010-03-14,8.6,74.9,
152,울산,2010-03-15,11.8,78.6,
152,울산,2010-03-16,5.9,33.4,
152,울산,2010-03-17,4.9,40.4,
152,울산,2010-03-18,4.4,63.9,
152,울산,2010-03-19,8.5,52.1,
152,울산,2010-03-20,17.1,60.4,
152,울산,2010-03-21,7.5,28.1,
152,울산,2010-03-22,7.5,43.3,
152,울산,2010-03-23,7.6,70.3,
152,울산,2010-03-24,8.4,65.4,
152,울산,2010-03-25,5.3,76.8,
152,울산,2010-03-26,3.7,39.1,
152,울산,2010-03-27,6.7,57.4,
152,울산,2010-03-28,7.8,66.6,
152,울산,2010-03-29,6.1,61.1,
152,울산,2010-03-30,8,58.6,
152,울산,2010-03-31,9.4,91.9,
152,울산,2010-04-01,11.6,92.8,
152,울산,2010-04-02,9.5,36.3,
152,울산,2010-04-03,7.8,37.6,
152,울산,2010-04-04,9.2,52.9,
152,울산,2010-04-05,13.2,52.1,
152,울산,2010-04-06,13.4,67.9,
152,울산,2010-04-07,7.2,59,
152,울산,2010-04-08,8.2,65,
152,울산,2010-04-09,11.2,71.6,
152,울산,2010-04-10,14.6,73.6,
152,울산,2010-04-11,11.4,73.8,
152,울산,2010-04-12,9.6,89.4,
152,울산,2010-04-13,10,49.4,
152,울산,2010-04-14,5.4,48,
152,울산,2010-04-15,5.7,63.4,
152,울산,2010-04-16,8.3,60.5,
152,울산,2010-04-17,11.8,54,
152,울산,2010-04-18,11.7,59.5,
152,울산,2010-04-19,14.1,73.9,
152,울산,2010-04-20,14.2,86.4,
