지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
102,백령도,2023-01-01,.8,52.4,10.85
102,백령도,2023-01-02,-1.2,53.3,11.34
102,백령도,2023-01-03,-.2,57.5,10.72
102,백령도,2023-01-04,.3,63.8,10.12
102,백령도,2023-01-05,1.8,66.3,8.87
102,백령도,2023-01-06,4.9,81.9,2.98
102,백령도,2023-01-07,2.8,58.5,10.24
102,백령도,2023-01-08,3.4,78,6.85
102,백령도,2023-01-09,2.5,57.1,11.49
102,백령도,2023-01-10,1.4,53.1,11.39
102,백령도,2023-01-11,3.6,85,10.85
102,백령도,2023-01-12,5.2,75.4,7.12
102,백령도,2023-01-13,6,97.4,3.56
102,백령도,2023-01-14,.8,79.1,7
102,백령도,2023-01-15,-3.9,69.9,5.53
102,백령도,2023-01-16,-3.7,55,12.54
102,백령도,2023-01-17,-1.2,84.3,2.28
102,백령도,2023-01-18,-1.1,52.5,12.51
102,백령도,2023-01-19,3.9,55,9.01
102,백령도,2023-01-20,-3.6,54.4,11.98
102,백령도,2023-01-21,-2.3,83.1,4.17
102,백령도,2023-01-22,.5,95,2.95
102,백령도,2023-01-23,-3.4,75.1,3.66
102,백령도,2023-01-24,-11.8,76.9,4.25
102,백령도,2023-01-25,-7.4,77.3,9.8
102,백령도,2023-01-26,-3,84,4.39
102,백령도,2023-01-27,-4.7,56.4,6.41
102,백령도,2023-01-28,-2.5,61.6,11.56
102,백령도,2023-01-29,1.8,54.1,11.03
102,백령도,2023-01-30,2.2,52.5,13.8
102,백령도,2023-01-31,5.2,80,11.4
102,백령도,2023-02-01,.7,60.8,13.47
102,백령도,2023-02-02,-2.2,49.4,10.05
102,백령도,2023-02-03,-.8,53.1,14.11
102,백령도,2023-02-04,1.8,54.4,14.11
102,백령도,2023-02-05,3.1,81.1,13.07
102,백령도,2023-02-06,2.5,97.9,8.49
102,백령도,2023-02-07,2,83.3,12.18
102,백령도,2023-02-08,2.1,54.9,15.63
102,백령도,2023-02-09,2.3,60.4,10.32
102,백령도,2023-02-10,2.9,83.8,9.66
102,백령도,2023-02-11,3,82.9,7.15
102,백령도,2023-02-12,3.3,81.9,4.07
102,백령도,2023-02-13,1.6,61.6,11.67
102,백령도,2023-02-14,0,47.6,14.65
102,백령도,2023-02-15,.6,54.4,13.84
102,백령도,2023-02-16,1.3,64.9,13.68
102,백령도,2023-02-17,3.7,88.4,10.1
102,백령도,2023-02-18,4,83.6,3.49
102,백령도,2023-02-19,2.7,57.8,16.02
