지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
165,목포,2023-01-01,2.7,68.9,9.58
165,목포,2023-01-02,.7,60.4,11.91
165,목포,2023-01-03,.9,67.8,10.46
165,목포,2023-01-04,1.6,64.6,9.91
165,목포,2023-01-05,4,75.8,7.63
165,목포,2023-01-06,5.4,75.6,9.67
165,목포,2023-01-07,4.7,64,10.29
165,목포,2023-01-08,4.6,71.9,10.66
165,목포,2023-01-09,4.8,75.6,6.12
165,목포,2023-01-10,2.4,68,12.14
165,목포,2023-01-11,5.4,72.5,11.77
165,목포,2023-01-12,10.2,75.6,9.24
165,목포,2023-01-13,12.3,97.9,1.99
165,목포,2023-01-14,6.1,95.5,1.97
165,목포,2023-01-15,1.8,73,2.16
165,목포,2023-01-16,-.3,62.5,7.13
165,목포,2023-01-17,0,64.8,11.84
165,목포,2023-01-18,1.6,71.6,11.23
165,목포,2023-01-19,3,66.9,11.78
165,목포,2023-01-20,1.3,62.8,10.17
165,목포,2023-01-21,-.9,59.5,13.85
165,목포,2023-01-22,2.7,46.9,3.21
165,목포,2023-01-23,2.6,66.9,11.38
165,목포,2023-01-24,-6.5,84,5.51
165,목포,2023-01-25,-7.9,63.3,14.84
165,목포,2023-01-26,-2,76,4.58
165,목포,2023-01-27,-2.9,81.4,7.76
165,목포,2023-01-28,-1.6,69.4,11.86
165,목포,2023-01-29,3.2,62.3,14.17
165,목포,2023-01-30,1.7,56.5,15.01
165,목포,2023-01-31,4.4,65.5,14.24
165,목포,2023-02-01,3.9,72.5,10.8
165,목포,2023-02-02,-.2,59.8,13.69
165,목포,2023-02-03,.2,64,13.81
165,목포,2023-02-04,1.2,68.8,14.88
165,목포,2023-02-05,2,64.6,15.56
165,목포,2023-02-06,3.3,61.8,10.46
165,목포,2023-02-07,3.8,75.4,14.71
165,목포,2023-02-08,3.1,74.8,14.65
165,목포,2023-02-09,5,65.3,6.24
165,목포,2023-02-10,3.9,87.6,9.81
165,목포,2023-02-11,3.6,85.5,6.5
165,목포,2023-02-12,5.3,82.3,5.02
165,목포,2023-02-13,5,82.8,8.66
165,목포,2023-02-14,2,68.9,16.34
165,목포,2023-02-15,2.1,66.8,5.64
165,목포,2023-02-16,3.4,75.4,10.84
165,목포,2023-02-17,4.3,65.9,7.18
165,목포,2023-02-18,8.4,78.8,1.74
165,목포,2023-02-19,4.2,77.6,8.43
165,목포,2023-02-20,2,64.4,16.45
165,목포,2023-02-21,-.4,55.4,18.43
165,목포,2023-02-22,2.2,64.9,15.58
165,목포,2023-02-23,3.1,77.4,17.6
165,목포,2023-02-24,4.2,70.5,16.26
165,목포,2023-02-25,1.7,54.6,18.7
165,목포,2023-02-26,2.2,55.4,19.82
165,목포,2023-02-27,4.2,58.9,19.87
165,목포,2023-02-28,7.7,71,19.21
165,목포,2023-03-01,7.1,70.8,10.87
165,목포,2023-03-02,3,52,20.18
165,목포,2023-03-03,4.3,61.3,19.34
165,목포,2023-03-04,6.4,70.1,17.54
165,목포,2023-03-05,8.1,64.9,19.05
165,목포,2023-03-06,9.3,70,19.67
165,목포,2023-03-07,12.6,69.9,17.63
165,목포,2023-03-08,13.8,71.5,16.81
165,목포,2023-03-09,12,84.6,15.25
165,목포,2023-03-10,12.4,67.8,18.19
165,목포,2023-03-11,15.2,55.9,14.8
165,목포,2023-03-12,7.7,77.8,3.32
165,목포,2023-03-13,4.8,46,21.99
165,목포,2023-03-14,8.5,61.4,22.49
165,목포,2023-03-15,12.4,67.1,19.65
165,목포,2023-03-16,6.6,44.4,21.34
165,목포,2023-03-17,6.9,54.6,4.95
165,목포,2023-03-18,7.5,61.9,21.32
165,목포,2023-03-19,7.3,72.9,21.23
165,목포,2023-03-20,9.1,68.3,20.01
165,목포,2023-03-21,14.1,52.9,17.9
165,목포,2023-03-22,14.5,81.6,7.27
165,목포,2023-03-23,10,85.4,7.44
165,목포,2023-03-24,7.5,69.3,7.73
165,목포,2023-03-25,8.6,78.6,7.16
165,목포,2023-03-26,7.9,60.8,22.24
165,목포,2023-03-27,7.2,49.1,24.54
165,목포,2023-03-28,9.4,50.1,17.14
165,목포,2023-03-29,9.8,80,23.61
165,목포,2023-03-30,10.9,70.4,15.61
165,목포,2023-03-31,12.5,57.6,23.96
165,목포,2023-04-01,14.5,45.5,22.14
165,목포,2023-04-02,14.3,50.1,23.69
165,목포,2023-04-03,15.6,45.9,24.42
165,목포,2023-04-04,15.2,72.3,7.3
165,목포,2023-04-05,12.6,91.3,2.59
165,목포,2023-04-06,9,91.3,3.36
165,목포,2023-04-07,8.7,80.6,20.41
165,목포,2023-04-08,8.8,66,24.81
165,목포,2023-04-09,10.5,60.9,26.55
165,목포,2023-04-10,12.7,63.6,24.82
165,목포,2023-04-11,15.4,78.3,10.62
165,목포,2023-04-12,11.1,43.8,26.69
165,목포,2023-04-13,13.4,37.3,24.85
165,목포,2023-04-14,13.5,86,4.53
165,목포,2023-04-15,12.7,88.3,17.01
165,목포,2023-04-16,10.8,80.6,20.6
165,목포,2023-04-17,14.2,61.3,25.5
165,목포,2023-04-18,17.5,85,5.16
165,목포,2023-04-19,19,85,14.13
165,목포,2023-04-20,17.6,84.9,25.77
165,목포,2023-04-21,13.9,78.8,21.28
165,목포,2023-04-22,15.1,52.3,21.8
165,목포,2023-04-23,14.3,50,9.66
165,목포,2023-04-24,13.5,59.9,9.26
165,목포,2023-04-25,10.6,80.1,3.7
165,목포,2023-04-26,9.9,73.5,24.43
165,목포,2023-04-27,12,68.8,28.73
165,목포,2023-04-28,16.4,72.4,16.28
165,목포,2023-04-29,13.9,90.3,2.66
165,목포,2023-04-30,13.1,66,28.21
165,목포,2023-05-01,15.4,54.9,28.72
165,목포,2023-05-02,17.4,46.3,26.51
165,목포,2023-05-03,16.9,73.6,8.52
165,목포,2023-05-04,17,92,2.47
165,목포,2023-05-05,19.6,96.4,2.78
165,목포,2023-05-06,15.3,93.1,6.46
165,목포,2023-05-07,13.2,89.3,4.71
165,목포,2023-05-08,13.8,67,25.38
165,목포,2023-05-09,14.9,68.4,29.21
165,목포,2023-05-10,16.5,65.4,29.11
165,목포,2023-05-11,17.3,68.5,25.02
165,목포,2023-05-12,17.4,69.4,16.7
165,목포,2023-05-13,16.8,76.4,24.25
165,목포,2023-05-14,17.3,72.9,27.31
165,목포,2023-05-15,19.2,69.4,19.56
165,목포,2023-05-16,21.2,72.1,28.94
165,목포,2023-05-17,22.6,69.9,25.91
165,목포,2023-05-18,17.9,90.1,6.33
165,목포,2023-05-19,19.5,80.3,28.86
165,목포,2023-05-20,18.5,84.1,27.78
165,목포,2023-05-21,15.9,88.3,12.01
165,목포,2023-05-22,16,83.5,9.57
165,목포,2023-05-23,17.5,76.3,29.32
165,목포,2023-05-24,18.3,66.6,17.64
165,목포,2023-05-25,20.7,54.8,27.48
165,목포,2023-05-26,21.2,70.5,14.27
165,목포,2023-05-27,22.4,77.3,11.87
165,목포,2023-05-28,22.6,88.1,9.67
165,목포,2023-05-29,20.2,96.5,3.41
165,목포,2023-05-30,20,93.6,5.66
165,목포,2023-05-31,21.7,68,29.05
165,목포,2023-06-01,19.8,82.9,6.43
165,목포,2023-06-02,20.3,85.8,26.21
165,목포,2023-06-03,20.3,71.9,29.83
165,목포,2023-06-04,20.5,67.9,23.63
165,목포,2023-06-05,20.3,69.9,13.94
165,목포,2023-06-06,19.6,76.1,26.91
165,목포,2023-06-07,19.5,83.3,26.01
165,목포,2023-06-08,22.1,74.3,25.43
165,목포,2023-06-09,22.4,77.5,27.63
165,목포,2023-06-10,23.4,72.6,23.06
165,목포,2023-06-11,22.6,83.3,20.28
165,목포,2023-06-12,21.9,82.1,26.06
165,목포,2023-06-13,21.9,79.9,27.6
165,목포,2023-06-14,21.8,76.5,27.71
165,목포,2023-06-15,21.5,74.9,23.71
165,목포,2023-06-16,22.3,76.4,28.89
165,목포,2023-06-17,22.7,71.6,23.47
165,목포,2023-06-18,23.2,74.3,25.62
165,목포,2023-06-19,24.7,68.4,26.96
165,목포,2023-06-20,22.1,79.5,10.55
165,목포,2023-06-21,21.3,92.9,6.27
165,목포,2023-06-22,22,84,24.06
165,목포,2023-06-23,23.7,78.5,25.55
165,목포,2023-06-24,24.1,71.6,22.65
165,목포,2023-06-25,22.1,86.5,9.77
165,목포,2023-06-26,24.1,95.9,3.79
165,목포,2023-06-27,24.2,92.4,14.28
165,목포,2023-06-28,23.3,97,4.9
165,목포,2023-06-29,24.3,95.4,5.26
165,목포,2023-06-30,23.7,94.9,8.29
165,목포,2023-07-01,24.4,89.4,17.73
165,목포,2023-07-02,25.5,86.1,18.37
165,목포,2023-07-03,25.7,89.1,11.86
165,목포,2023-07-04,24.5,93,8.6
165,목포,2023-07-05,24.5,86.6,26.45
165,목포,2023-07-06,25.4,81.3,26.24
165,목포,2023-07-07,24.3,92.8,3.95
165,목포,2023-07-08,25.8,91.4,15.04
165,목포,2023-07-09,26.1,93,12.92
165,목포,2023-07-10,26.1,87.8,21.51
165,목포,2023-07-11,25.3,95.3,3.29
165,목포,2023-07-12,25.6,93.8,7.07
165,목포,2023-07-13,25.9,92.8,3.63
165,목포,2023-07-14,26.6,86.3,6.39
165,목포,2023-07-15,25,94.6,2.53
165,목포,2023-07-16,23.8,96.3,10.95
165,목포,2023-07-17,25.4,93.6,16.53
165,목포,2023-07-18,24.8,97,5.32
165,목포,2023-07-19,25.1,88.9,21.94
165,목포,2023-07-20,25,89.9,18.54
165,목포,2023-07-21,26.2,78.6,22.89
165,목포,2023-07-22,24.4,92.5,2.67
165,목포,2023-07-23,26,94.1,5.47
165,목포,2023-07-24,24.7,95.5,10.53
165,목포,2023-07-25,27.1,83.3,19.53
165,목포,2023-07-26,27.8,85.8,19.91
165,목포,2023-07-27,28.6,79,26.16
165,목포,2023-07-28,27.9,81.1,17.06
165,목포,2023-07-29,29.1,76.4,21.02
165,목포,2023-07-30,28.8,74.9,26.93
165,목포,2023-07-31,28.5,79.4,24.9
165,목포,2023-08-01,29,77.8,25.26
165,목포,2023-08-02,29.2,77.9,27.11
