지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
140,군산,2012-01-01,-.6,77,
140,군산,2012-01-02,-2.2,71.6,
140,군산,2012-01-03,-1.3,78.6,
140,군산,2012-01-04,-3.6,82.8,
140,군산,2012-01-05,-4.1,71.9,
140,군산,2012-01-06,-3,72,
140,군산,2012-01-07,-3.9,70.4,
140,군산,2012-01-08,-2.3,73.5,
140,군산,2012-01-09,.1,75.1,
140,군산,2012-01-10,.4,65.8,
140,군산,2012-01-11,-2.6,55,
140,군산,2012-01-12,-2.6,65.4,
140,군산,2012-01-13,.5,69.3,
140,군산,2012-01-14,-1.2,63.8,
140,군산,2012-01-15,-.5,53.5,
140,군산,2012-01-16,.7,59.4,
140,군산,2012-01-17,2,77.6,
140,군산,2012-01-18,2.6,50.1,
140,군산,2012-01-19,4.1,83.1,
140,군산,2012-01-20,6.1,75.1,
140,군산,2012-01-21,3.4,85.8,
140,군산,2012-01-22,-3.4,57.9,
140,군산,2012-01-23,-5.9,56.3,
140,군산,2012-01-24,-5.1,65.4,
140,군산,2012-01-25,-5.3,71.1,
140,군산,2012-01-26,-3.1,79.6,
140,군산,2012-01-27,1,84.3,
140,군산,2012-01-28,.5,38.6,
140,군산,2012-01-29,-.3,37.6,
140,군산,2012-01-30,-2.1,32.3,
140,군산,2012-01-31,-1.9,68.1,
140,군산,2012-02-01,-6.4,61.1,
140,군산,2012-02-02,-8.7,61,
140,군산,2012-02-03,-5.9,63.4,
140,군산,2012-02-04,-.7,59.8,
140,군산,2012-02-05,0,50.4,
140,군산,2012-02-06,1.6,58.8,
140,군산,2012-02-07,-4.7,57.5,
140,군산,2012-02-08,-6.3,72.8,
140,군산,2012-02-09,-2.9,69.4,
140,군산,2012-02-10,-1.9,71.5,
140,군산,2012-02-11,-3.5,58,
140,군산,2012-02-12,-.7,66.9,
140,군산,2012-02-13,3.4,44.3,
140,군산,2012-02-14,4,55.9,
140,군산,2012-02-15,.5,53.1,
140,군산,2012-02-16,-.3,48.4,
140,군산,2012-02-17,-3.2,56,
140,군산,2012-02-18,-4.5,60,
140,군산,2012-02-19,-3.4,61.8,
140,군산,2012-02-20,-1.5,67.6,
140,군산,2012-02-21,1.3,63.5,
140,군산,2012-02-22,6.4,60,
140,군산,2012-02-23,4.3,78.1,
140,군산,2012-02-24,4.3,73.6,
140,군산,2012-02-25,1.4,72.3,
140,군산,2012-02-26,-.8,54.4,
140,군산,2012-02-27,-.1,44,
140,군산,2012-02-28,2.8,46.6,
140,군산,2012-02-29,3.7,67.8,
140,군산,2012-03-01,5.7,64.4,
140,군산,2012-03-02,4.5,81.8,
140,군산,2012-03-03,7.5,68.5,
140,군산,2012-03-04,5.8,71.1,
140,군산,2012-03-05,4.6,92.4,
140,군산,2012-03-06,4.3,83.5,
140,군산,2012-03-07,3.3,70.9,
140,군산,2012-03-08,3,57.4,
140,군산,2012-03-09,2.2,66.9,
140,군산,2012-03-10,2,75.1,
140,군산,2012-03-11,-.1,53.3,
140,군산,2012-03-12,-.7,52.6,
140,군산,2012-03-13,1.5,63.6,
140,군산,2012-03-14,4.3,75.8,
140,군산,2012-03-15,4.9,62.9,
140,군산,2012-03-16,7.7,72.9,
140,군산,2012-03-17,7,94.3,
140,군산,2012-03-18,3.6,86.1,
140,군산,2012-03-19,2.2,64.5,
140,군산,2012-03-20,2.4,53.5,
140,군산,2012-03-21,3.2,61.5,
140,군산,2012-03-22,5.2,77,
140,군산,2012-03-23,5.6,93.6,
140,군산,2012-03-24,4.6,64.9,
140,군산,2012-03-25,4.4,56.5,
140,군산,2012-03-26,3.6,57.1,
140,군산,2012-03-27,7.3,59.1,
140,군산,2012-03-28,7.3,88.4,
140,군산,2012-03-29,12.1,73.6,
140,군산,2012-03-30,9.4,84.8,
140,군산,2012-03-31,5.9,57.3,
140,군산,2012-04-01,4.4,46.6,
140,군산,2012-04-02,11.5,61.3,
140,군산,2012-04-03,6.2,69.1,
140,군산,2012-04-04,7.6,69.4,
140,군산,2012-04-05,6.3,68.4,
140,군산,2012-04-06,5.6,57.4,
140,군산,2012-04-07,5.9,56.5,
140,군산,2012-04-08,13,52.5,
140,군산,2012-04-09,13.3,82.1,
140,군산,2012-04-10,13.3,86.4,
140,군산,2012-04-11,9.4,87.4,
140,군산,2012-04-12,8.1,62.9,
140,군산,2012-04-13,8.6,72.5,
140,군산,2012-04-14,8.3,88.6,
140,군산,2012-04-15,10.8,76.9,
140,군산,2012-04-16,8.2,86.4,
140,군산,2012-04-17,9.1,69,
140,군산,2012-04-18,13.6,55.3,
140,군산,2012-04-19,14.4,59.9,
140,군산,2012-04-20,17.4,60.4,
140,군산,2012-04-21,13.3,87.5,
140,군산,2012-04-22,9.8,89.1,
140,군산,2012-04-23,15.8,75,
140,군산,2012-04-24,20.4,53.9,
140,군산,2012-04-25,15.5,75.5,
140,군산,2012-04-26,11.1,67.4,
140,군산,2012-04-27,14.2,48.8,
140,군산,2012-04-28,16.5,41,
140,군산,2012-04-29,17,57.9,
140,군산,2012-04-30,21.1,50.8,
140,군산,2012-05-01,18.8,70.8,
140,군산,2012-05-02,20.7,68.4,
140,군산,2012-05-03,16.1,78,
140,군산,2012-05-04,17.5,66.3,
140,군산,2012-05-05,15.9,73.1,
140,군산,2012-05-06,16.3,55.1,
140,군산,2012-05-07,17.4,74.4,
140,군산,2012-05-08,17.7,79.5,
140,군산,2012-05-09,15.6,87.3,
140,군산,2012-05-10,14.3,86.6,
140,군산,2012-05-11,16.5,75.5,
140,군산,2012-05-12,16,75.5,
140,군산,2012-05-13,16.9,73.4,
140,군산,2012-05-14,15.7,88.1,
140,군산,2012-05-15,15,87.9,
140,군산,2012-05-16,16.2,77.1,
140,군산,2012-05-17,15.4,75.6,
140,군산,2012-05-18,15.7,76.4,
140,군산,2012-05-19,17.6,61.5,
140,군산,2012-05-20,16.9,65.9,
140,군산,2012-05-21,19.5,63.6,
140,군산,2012-05-22,19.1,66,
140,군산,2012-05-23,19.4,63,
140,군산,2012-05-24,18.6,69,
140,군산,2012-05-25,18.8,71,
140,군산,2012-05-26,19.1,65.3,
140,군산,2012-05-27,19.9,66.1,
140,군산,2012-05-28,21.1,57.9,
140,군산,2012-05-29,21.5,51.5,
140,군산,2012-05-30,20,72,
140,군산,2012-05-31,20.1,69.1,
140,군산,2012-06-01,19.2,76.4,
140,군산,2012-06-02,21,63,
140,군산,2012-06-03,20.7,63.3,
140,군산,2012-06-04,21.7,67.9,
140,군산,2012-06-05,22.4,80.4,
140,군산,2012-06-06,21.4,89,
