지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
184,제주,2020-01-01,5.2,62.9,3.86
184,제주,2020-01-02,8.1,66.8,2.17
184,제주,2020-01-03,8.8,66.9,4.96
184,제주,2020-01-04,7.9,66.5,10.1
184,제주,2020-01-05,8.5,61.9,9.79
184,제주,2020-01-06,14.5,62.5,1.3
184,제주,2020-01-07,19.2,69.8,8.37
184,제주,2020-01-08,8.1,68.9,2.03
184,제주,2020-01-09,7.3,65.5,3.75
184,제주,2020-01-10,8,63,11.44
184,제주,2020-01-11,8,60.4,4.78
184,제주,2020-01-12,7.5,59.1,3.32
184,제주,2020-01-13,7.1,56.6,5.47
184,제주,2020-01-14,4.8,73.5,1.52
184,제주,2020-01-15,5.6,61.8,3.5
184,제주,2020-01-16,6.3,55.8,6.69
184,제주,2020-01-17,6.9,52,10.62
184,제주,2020-01-18,7,58,6.7
184,제주,2020-01-19,8.6,58,1.88
184,제주,2020-01-20,8.4,50.3,8.71
184,제주,2020-01-21,7.4,57.8,13.61
184,제주,2020-01-22,11.4,85.1,1.78
184,제주,2020-01-23,11.2,87.3,4.34
184,제주,2020-01-24,11.3,64.5,7.88
184,제주,2020-01-25,11.9,77.9,1.57
184,제주,2020-01-26,11.6,74,3.51
184,제주,2020-01-27,9.8,84.1,1.44
184,제주,2020-01-28,9.9,73.4,3.96
184,제주,2020-01-29,9.6,67.8,6.41
184,제주,2020-01-30,8.3,61.8,4.23
184,제주,2020-01-31,7.2,56.9,3.41
184,제주,2020-02-01,8.2,60.3,9.43
184,제주,2020-02-02,7.7,61.8,12.06
184,제주,2020-02-03,6.9,65,4.89
184,제주,2020-02-04,5.6,60.3,15.17
184,제주,2020-02-05,3.4,63.6,8.35
184,제주,2020-02-06,3.3,53.8,12.62
184,제주,2020-02-07,6.4,60.5,9.63
184,제주,2020-02-08,6.9,58.8,3.23
184,제주,2020-02-09,6.6,57.4,5.11
184,제주,2020-02-10,10.6,66.4,12.39
184,제주,2020-02-11,11.2,57.9,7.92
184,제주,2020-02-12,13.3,83.5,5.5
184,제주,2020-02-13,12.3,74.6,12.37
184,제주,2020-02-14,13.6,75.8,16.04
184,제주,2020-02-15,16.2,75.8,11.47
184,제주,2020-02-16,5.4,74.4,2.7
184,제주,2020-02-17,2.6,71.6,4.61
184,제주,2020-02-18,4.9,57.9,11.29
184,제주,2020-02-19,6.6,58.6,15.29
184,제주,2020-02-20,10,59.5,17.29
184,제주,2020-02-21,12.4,56.9,11.39
184,제주,2020-02-22,10.8,58.3,14.07
184,제주,2020-02-23,7.8,55.9,18.7
184,제주,2020-02-24,11.5,52.1,14.76
184,제주,2020-02-25,16.6,79.8,9.47
184,제주,2020-02-26,11.4,82,3.7
184,제주,2020-02-27,10,63.8,10.56
184,제주,2020-02-28,10.4,75.4,2.08
184,제주,2020-02-29,11.6,94,1.81
184,제주,2020-03-01,11.2,86.1,1.31
184,제주,2020-03-02,8,61.9,18.16
184,제주,2020-03-03,10.7,70.3,7.49
184,제주,2020-03-04,8,58.6,13.9
184,제주,2020-03-05,6.1,55.3,18.57
184,제주,2020-03-06,7.4,65.3,18.62
184,제주,2020-03-07,10.3,84.3,2.1
184,제주,2020-03-08,12,70.6,20.69
184,제주,2020-03-09,13.1,80.9,2.55
184,제주,2020-03-10,9.6,79.9,1.38
184,제주,2020-03-11,8.4,49.1,21.98
184,제주,2020-03-12,9.4,58.9,21.34
