지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
129,서산,2015-01-01,-4.5,61.5,5.27
129,서산,2015-01-02,-4.3,69.3,7.08
129,서산,2015-01-03,-2.1,78.9,7.19
129,서산,2015-01-04,1.8,88.3,7.79
129,서산,2015-01-05,4,78.1,6.01
129,서산,2015-01-06,-1,63.1,9.57
129,서산,2015-01-07,-3.1,53.8,9.54
129,서산,2015-01-08,-4.3,77.4,9.85
129,서산,2015-01-09,-1.9,87.5,4.76
129,서산,2015-01-10,-.6,78.5,9.04
129,서산,2015-01-11,1.1,64.1,9.46
129,서산,2015-01-12,-2.6,55,9.33
129,서산,2015-01-13,-.7,64.8,7.52
129,서산,2015-01-14,2.5,61.1,2.65
129,서산,2015-01-15,2.6,67.8,7.67
129,서산,2015-01-16,1.6,81.1,2.33
129,서산,2015-01-17,-2.8,64.9,10.14
129,서산,2015-01-18,-.6,83.8,5.18
129,서산,2015-01-19,1.7,73.1,5.6
129,서산,2015-01-20,-.1,73.6,9.29
129,서산,2015-01-21,2.6,78,3.11
129,서산,2015-01-22,1.4,85.9,8.16
129,서산,2015-01-23,.2,84.1,8.47
129,서산,2015-01-24,2.5,82.8,5.15
129,서산,2015-01-25,4.2,88.6,1.56
129,서산,2015-01-26,4.1,88.3,2.65
129,서산,2015-01-27,-2.6,66.8,11.33
129,서산,2015-01-28,-3.8,63.4,9.71
129,서산,2015-01-29,-.4,69.4,4.07
129,서산,2015-01-30,-1.6,65.4,9.99
129,서산,2015-01-31,-4.9,67,11.84
129,서산,2015-02-01,-3.4,71,11.58
129,서산,2015-02-02,-1.7,65.3,10.38
129,서산,2015-02-03,-.9,71.5,8.93
129,서산,2015-02-04,-1.1,86.5,4.55
129,서산,2015-02-05,-.9,78.1,10.22
129,서산,2015-02-06,-.6,81.3,9.78
129,서산,2015-02-07,1.1,78.1,6.21
129,서산,2015-02-08,-6.8,54.8,11.11
129,서산,2015-02-09,-2.9,59.9,10.41
129,서산,2015-02-10,2.4,74.1,9.34
129,서산,2015-02-11,1.9,77.4,7.25
129,서산,2015-02-12,-.4,45.7,12.73
129,서산,2015-02-13,-1.9,57.1,12.54
129,서산,2015-02-14,1.1,85.8,6.13
129,서산,2015-02-15,7.3,74.3,5.59
129,서산,2015-02-16,5.5,93,.94
129,서산,2015-02-17,2.5,77.3,4.25
129,서산,2015-02-18,2.1,73.4,4.19
129,서산,2015-02-19,1.4,74.3,12.84
129,서산,2015-02-20,3.8,74.1,10.86
129,서산,2015-02-21,6.5,88.3,1.81
129,서산,2015-02-22,3.9,77.1,7.84
129,서산,2015-02-23,1.5,71.9,9.51
129,서산,2015-02-24,1.6,76.8,13.77
129,서산,2015-02-25,4.4,63.8,9.85
129,서산,2015-02-26,1.7,63.6,14.3
129,서산,2015-02-27,-1.7,55,13.7
129,서산,2015-02-28,2.4,52.5,5.7
129,서산,2015-03-01,2.4,68.3,6.79
129,서산,2015-03-02,1.8,66.1,15.15
129,서산,2015-03-03,3.7,62.6,5.81
129,서산,2015-03-04,-.7,51.8,14.53
129,서산,2015-03-05,-1.5,61.3,14.67
129,서산,2015-03-06,.8,62.4,15.92
129,서산,2015-03-07,1.5,63.1,16.42
129,서산,2015-03-08,6.1,59.3,13.21
129,서산,2015-03-09,1.9,54.6,15.49
129,서산,2015-03-10,-1.5,44.9,15.12
129,서산,2015-03-11,2,53.4,13.38
129,서산,2015-03-12,1.8,59.9,16.76
129,서산,2015-03-13,5.9,58.8,15.26
129,서산,2015-03-14,2.8,60.3,15.26
129,서산,2015-03-15,3.4,60.1,15.02
129,서산,2015-03-16,7.3,60.6,14.15
129,서산,2015-03-17,9.2,64.3,7.49
129,서산,2015-03-18,9.3,89.1,2.43
129,서산,2015-03-19,10.8,72,16.68
129,서산,2015-03-20,11.3,51.4,15.01
129,서산,2015-03-21,8.3,71.5,15.3
129,서산,2015-03-22,6,59.4,15.89
129,서산,2015-03-23,3.9,52.1,18.64
129,서산,2015-03-24,3,53.4,18.91
129,서산,2015-03-25,3.6,67.1,19.11
129,서산,2015-03-26,5.1,54.5,18.76
129,서산,2015-03-27,6.3,52.5,18.36
129,서산,2015-03-28,7.7,48.5,17.91
129,서산,2015-03-29,9,82.1,12.11
129,서산,2015-03-30,10.5,78.9,17.36
129,서산,2015-03-31,11.7,92.4,1.83
129,서산,2015-04-01,12.7,82.9,11.52
129,서산,2015-04-02,16.4,77.8,8.34
129,서산,2015-04-03,9.6,88.4,5.75
129,서산,2015-04-04,12.9,74.8,10.79
129,서산,2015-04-05,10.7,92.9,2.6
129,서산,2015-04-06,8.4,76.6,6.09
129,서산,2015-04-07,6.9,71.6,16.73
129,서산,2015-04-08,7.5,71.8,12.49
