지점,지점명,일시,평균기온(°C),평균 상대습도(%),합계 일사량(MJ/m2)
127,충주,2013-01-01,-6.3,84,
127,충주,2013-01-02,-10.6,45.3,
127,충주,2013-01-03,-15.7,56.9,
127,충주,2013-01-04,-15.1,63.5,
127,충주,2013-01-05,-11.1,67.9,
127,충주,2013-01-06,-8.4,70.5,
127,충주,2013-01-07,-8.4,66.4,
127,충주,2013-01-08,-7.7,66.4,
127,충주,2013-01-09,-9.8,47.3,
127,충주,2013-01-10,-12,54.3,
127,충주,2013-01-11,-7.9,65.1,
127,충주,2013-01-12,-2.4,75.4,
127,충주,2013-01-13,-3.6,82.8,
127,충주,2013-01-14,-4.5,79.9,
127,충주,2013-01-15,-5.2,74.4,
127,충주,2013-01-16,-3.3,75.5,
127,충주,2013-01-17,-4.4,66.4,
127,충주,2013-01-18,-6.3,62.4,
127,충주,2013-01-19,-1.8,69,
127,충주,2013-01-20,-.2,68.4,
127,충주,2013-01-21,2.9,85.1,
127,충주,2013-01-22,3,85.1,
127,충주,2013-01-23,2.1,84.1,
127,충주,2013-01-24,-.7,68.9,
127,충주,2013-01-25,-7.2,42.4,
127,충주,2013-01-26,-8.3,43.8,
127,충주,2013-01-27,-7.9,61.3,
127,충주,2013-01-28,-4.2,61,
127,충주,2013-01-29,1.2,72.1,
127,충주,2013-01-30,3.4,73.3,
127,충주,2013-01-31,5.3,62.6,
127,충주,2013-02-01,9.1,82,
127,충주,2013-02-02,.5,64.6,
127,충주,2013-02-03,-2.2,65.9,
127,충주,2013-02-04,0,81.4,
127,충주,2013-02-05,-1.3,87,
127,충주,2013-02-06,-.6,81.8,
127,충주,2013-02-07,-9,44,
127,충주,2013-02-08,-11.6,45.8,
127,충주,2013-02-09,-9.4,57.1,
127,충주,2013-02-10,-4.9,64.4,
127,충주,2013-02-11,-6,49.1,
127,충주,2013-02-12,-4.1,58.8,
127,충주,2013-02-13,-2.6,62.1,
127,충주,2013-02-14,-.5,59.3,
127,충주,2013-02-15,-.7,48.3,
127,충주,2013-02-16,-3.8,44.3,
127,충주,2013-02-17,1.5,46.6,
127,충주,2013-02-18,2.5,53,
127,충주,2013-02-19,-1.3,35.9,
127,충주,2013-02-20,-3.6,35.9,
127,충주,2013-02-21,-2.1,47.9,
127,충주,2013-02-22,.1,53.5,
127,충주,2013-02-23,-1.4,44.4,
127,충주,2013-02-24,.3,53.3,
127,충주,2013-02-25,.8,53.9,
127,충주,2013-02-26,3.3,58.9,
127,충주,2013-02-27,5.1,64.3,
127,충주,2013-02-28,5.7,50.9,
127,충주,2013-03-01,2.3,60.8,
127,충주,2013-03-02,-1,50.1,
127,충주,2013-03-03,-.3,53.4,
127,충주,2013-03-04,1,63,
127,충주,2013-03-05,2.7,57.4,
127,충주,2013-03-06,5.2,51.4,
127,충주,2013-03-07,7.2,72.1,
127,충주,2013-03-08,8.1,68.4,
127,충주,2013-03-09,13.2,54.3,
127,충주,2013-03-10,4,39.4,
127,충주,2013-03-11,3.2,47.4,
127,충주,2013-03-12,6.9,55.9,
127,충주,2013-03-13,6.4,82.6,
127,충주,2013-03-14,4.6,57.4,
127,충주,2013-03-15,4.4,55,
127,충주,2013-03-16,5.7,44.3,
127,충주,2013-03-17,8.5,52.5,
127,충주,2013-03-18,9.2,77.5,
127,충주,2013-03-19,10.2,60.3,
127,충주,2013-03-20,5.7,56.8,
127,충주,2013-03-21,1.1,41.5,
127,충주,2013-03-22,3.6,59.8,
127,충주,2013-03-23,6.6,56,
127,충주,2013-03-24,4.7,48.4,
127,충주,2013-03-25,2.8,50.8,
127,충주,2013-03-26,3.4,47.5,
127,충주,2013-03-27,7.9,45.1,
127,충주,2013-03-28,7.6,44.1,
127,충주,2013-03-29,6,35.9,
127,충주,2013-03-30,4.9,55,
