瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
127,面林,2023-01-01,-2.3,61.3,9.89
127,面林,2023-01-02,-6.4,53,10.56
127,面林,2023-01-03,-7.8,60.1,11.48
127,面林,2023-01-04,-5.5,66.4,9.97
127,面林,2023-01-05,-5.1,76.1,7.13
127,面林,2023-01-06,-3.3,77.6,8.43
127,面林,2023-01-07,.8,76.5,6.13
127,面林,2023-01-08,-1.9,78.4,8.39
127,面林,2023-01-09,1.5,73.8,7.13
127,面林,2023-01-10,-1.3,76.8,10.86
127,面林,2023-01-11,-.8,71.8,10.47
127,面林,2023-01-12,1.2,69.4,10.52
127,面林,2023-01-13,6,94.5,1.27
127,面林,2023-01-14,6.7,87.5,1.33
127,面林,2023-01-15,.5,86.5,.28
127,面林,2023-01-16,-4.3,75.9,8.17
127,面林,2023-01-17,-4.1,70.8,7.78
127,面林,2023-01-18,-2.5,70.1,10.02
127,面林,2023-01-19,-1.7,68.6,10.69
127,面林,2023-01-20,-2,49.1,11.28
127,面林,2023-01-21,-5.9,61.8,12.68
127,面林,2023-01-22,-2.2,64.4,4.61
127,面林,2023-01-23,-.2,68.3,10.97
127,面林,2023-01-24,-11.9,39,12.59
127,面林,2023-01-25,-13,45,12.88
127,面林,2023-01-26,-7.9,77.3,1.38
127,面林,2023-01-27,-8.5,60,10.18
127,面林,2023-01-28,-7.9,59.1,11.43
127,面林,2023-01-29,-3.6,73.3,9.56
127,面林,2023-01-30,-3.5,60.5,13.31
127,面林,2023-01-31,-.6,67.8,12.64
127,面林,2023-02-01,1.7,61.8,11.27
127,面林,2023-02-02,-3.3,62.5,10.14
127,面林,2023-02-03,-2.5,53.6,9.97
127,面林,2023-02-04,-2.8,63.8,12.05
127,面林,2023-02-05,-2.3,71.8,11.89
127,面林,2023-02-06,-.5,68.3,11.22
127,面林,2023-02-07,-.2,67.6,8.89
127,面林,2023-02-08,-.4,67.5,12.76
127,面林,2023-02-09,2.3,61.3,12.14
127,面林,2023-02-10,2.3,88.6,3.65
127,面林,2023-02-11,.1,88.9,7.42
127,面林,2023-02-12,1.7,83.9,6.48
127,面林,2023-02-13,6.1,60.1,6.21
127,面林,2023-02-14,2.5,64,12.26
127,面林,2023-02-15,2.5,55.3,10.96
127,面林,2023-02-16,1.3,69.9,4.26
127,面林,2023-02-17,2.7,63.1,12.6
127,面林,2023-02-18,5,61.6,2.51
127,面林,2023-02-19,3.1,60.1,6.84
127,面林,2023-02-20,-1.1,51,16.43
127,面林,2023-02-21,-2.9,47.5,17.04
127,面林,2023-02-22,.6,55,15.1
127,面林,2023-02-23,2.1,57.4,15.36
127,面林,2023-02-24,2.3,55.8,14.69
127,面林,2023-02-25,-.5,52.6,16.89
127,面林,2023-02-26,-.1,52.3,17.95
127,面林,2023-02-27,2.3,52.8,18.11
127,面林,2023-02-28,4.3,57.5,18.02
127,面林,2023-03-01,5.6,57.3,6.92
127,面林,2023-03-02,1.8,33.4,18.45
127,面林,2023-03-03,2.2,59.3,17.45
127,面林,2023-03-04,4.6,66,13.85
127,面林,2023-03-05,5.9,59,16.7
127,面林,2023-03-06,6.5,47.5,18.28
127,面林,2023-03-07,9.8,50.1,15.26
127,面林,2023-03-08,10.9,53.4,14.86
127,面林,2023-03-09,11.9,58,12.81
127,面林,2023-03-10,12.1,51.6,17.4
127,面林,2023-03-11,14.3,43,14.35
127,面林,2023-03-12,6,61.4,1.82
127,面林,2023-03-13,2.3,33.5,20.4
127,面林,2023-03-14,7.4,43.5,18.28
127,面林,2023-03-15,9.8,58.8,14.6
127,面林,2023-03-16,5.3,30.6,16.27
127,面林,2023-03-17,6,44.8,12.96
127,面林,2023-03-18,8,42.5,18.29
127,面林,2023-03-19,6.6,53.6,19.12
127,面林,2023-03-20,8.1,47.1,16.56
127,面林,2023-03-21,11.1,43.8,19.68
127,面林,2023-03-22,16.1,52.1,19.45
127,面林,2023-03-23,15.2,85.6,4.36
127,面林,2023-03-24,11.8,72.1,6.51
127,面林,2023-03-25,10.5,68.4,8.1
127,面林,2023-03-26,10,46.9,20.5
127,面林,2023-03-27,6,41.6,22.5
127,面林,2023-03-28,7,49.5,18.03
127,面林,2023-03-29,9.9,49.1,21.02
127,面林,2023-03-30,11.7,39.3,22.04
127,面林,2023-03-31,12.9,40.8,23.19
127,面林,2023-04-01,15.1,41.1,22.73
127,面林,2023-04-02,15.9,30.8,23.32
127,面林,2023-04-03,16.2,30.8,23.47
127,面林,2023-04-04,15.9,38.8,14.15
127,面林,2023-04-05,14.3,78.3,4.53
127,面林,2023-04-06,9.1,88.4,1.62
127,面林,2023-04-07,8.7,61,22.7
127,面林,2023-04-08,7.4,45.6,23.69
127,面林,2023-04-09,9.2,50.5,25.45
127,面林,2023-04-10,11.3,48.1,23.15
127,面林,2023-04-11,13.8,70.6,6.13
127,面林,2023-04-12,9.7,34.6,24.45
127,面林,2023-04-13,10.2,42.1,17.11
127,面林,2023-04-14,15.7,37.6,22.81
127,面林,2023-04-15,11.9,74.8,5.09
127,面林,2023-04-16,9.9,73.5,13.05
127,面林,2023-04-17,12.5,53.4,20.54
127,面林,2023-04-18,13.1,76,3.89
127,面林,2023-04-19,19.1,60.5,26.93
127,面林,2023-04-20,18.5,78.5,10
127,面林,2023-04-21,16.5,61,13.05
127,面林,2023-04-22,14.6,40.9,21.09
127,面林,2023-04-23,15,40.5,16.69
127,面林,2023-04-24,14.2,46.4,17.54
127,面林,2023-04-25,8.6,77.4,4.46
127,面林,2023-04-26,8.4,72.6,16.92
127,面林,2023-04-27,11.4,60.6,25.29
127,面林,2023-04-28,15.7,55.1,26.2
127,面林,2023-04-29,14.1,79.1,3.06
127,面林,2023-04-30,14.5,53.3,25.76
127,面林,2023-05-01,13.9,52.4,23.86
127,面林,2023-05-02,15.2,47.5,23.29
127,面林,2023-05-03,18.8,48.4,26.47
127,面林,2023-05-04,19.8,63.9,24.43
127,面林,2023-05-05,19.2,85.8,4.25
127,面林,2023-05-06,13.7,77.5,4.3
127,面林,2023-05-07,11.7,64.4,7.92
127,面林,2023-05-08,12.7,62.3,27.32
127,面林,2023-05-09,15.2,57.1,28.45
127,面林,2023-05-10,16.2,56.5,25.89
127,面林,2023-05-11,18.6,52.4,28.34
127,面林,2023-05-12,18.3,55.6,19.31
127,面林,2023-05-13,17.9,55.9,26.76
127,面林,2023-05-14,17.1,60.3,27.31
127,面林,2023-05-15,19.3,57.6,28.02
127,面林,2023-05-16,22.1,53,27.56
127,面林,2023-05-17,22.2,52.1,29.18
127,面林,2023-05-18,20.2,65.8,16.1
127,面林,2023-05-19,20.1,63.3,17.65
127,面林,2023-05-20,20.7,64.3,26.3
127,面林,2023-05-21,18.8,64.9,17.31
127,面林,2023-05-22,17.8,65.8,13.59
127,面林,2023-05-23,18.3,56.8,29.92
127,面林,2023-05-24,19,55,20.51
127,面林,2023-05-25,20.7,48.5,26.87
127,面林,2023-05-26,20.9,56,26.62
127,面林,2023-05-27,18.8,82.8,4.63
127,面林,2023-05-28,19.5,90.9,2.25
127,面林,2023-05-29,20.7,89.8,7.48
127,面林,2023-05-30,21.1,73.9,19.04
127,面林,2023-05-31,21.3,51,29.57
127,面林,2023-06-01,21.9,64.8,19.2
127,面林,2023-06-02,22.3,66.6,22.59
127,面林,2023-06-03,21.3,56.5,26.12
127,面林,2023-06-04,20.6,54.4,27.73
127,面林,2023-06-05,20.5,62,22.75
127,面林,2023-06-06,20.9,65.4,26.73
127,面林,2023-06-07,20.9,72,13.93
127,面林,2023-06-08,22.7,71.5,22.7
127,面林,2023-06-09,22.9,57.5,26.14
127,面林,2023-06-10,21.2,69.6,22.15
127,面林,2023-06-11,20.6,80.3,22.01
127,面林,2023-06-12,22.2,74,23.45
127,面林,2023-06-13,22.1,67.8,25.62
127,面林,2023-06-14,20.4,73.1,24.42
127,面林,2023-06-15,20,79.3,21.54
127,面林,2023-06-16,22.5,71.1,28.36
127,面林,2023-06-17,23.7,63.4,28.46
127,面林,2023-06-18,25.4,62.1,28.68
127,面林,2023-06-19,26.9,60.5,25.98
127,面林,2023-06-20,23.6,57.8,12.77
127,面林,2023-06-21,20.4,91.3,5.65
127,面林,2023-06-22,21.2,84,12.73
127,面林,2023-06-23,23.6,74.8,24.31
127,面林,2023-06-24,25.4,69.4,25.34
127,面林,2023-06-25,26,65.6,22.7
127,面林,2023-06-26,23.5,85.5,4.92
127,面林,2023-06-27,25.9,73.1,21.18
127,面林,2023-06-28,25.6,71.1,22.39
127,面林,2023-06-29,24.3,89.5,3.82
127,面林,2023-06-30,25.1,88.4,11.09
127,面林,2023-07-01,27.3,76,27.42
127,面林,2023-07-02,26.4,78.6,22.56
127,面林,2023-07-03,27.4,71.8,25.29
127,面林,2023-07-04,24.9,81.1,16.29
127,面林,2023-07-05,24.5,79.1,12.6
127,面林,2023-07-06,25.9,67.4,25.45
127,面林,2023-07-07,22.3,79.3,6.9
127,面林,2023-07-08,24.8,83,17.18
127,面林,2023-07-09,24.6,86.3,13.02
127,面林,2023-07-10,26.9,75.3,23.29
127,面林,2023-07-11,23.7,87.9,5.11
127,面林,2023-07-12,25,88.8,12.77
127,面林,2023-07-13,24.9,92,4.55
127,面林,2023-07-14,24.8,86.9,1.97
127,面林,2023-07-15,22.8,90.4,3
127,面林,2023-07-16,24.4,87.8,9.63
127,面林,2023-07-17,25.6,86.9,12.82
127,面林,2023-07-18,23.8,90.3,6.67
127,面林,2023-07-19,25.7,81.3,24.57
127,面林,2023-07-20,26.5,79.8,21.51
127,面林,2023-07-21,27.7,78,20.79
127,面林,2023-07-22,26.7,71.9,20.45
127,面林,2023-07-23,26.1,82.6,5.38
127,面林,2023-07-24,26.3,83.1,14.69
127,面林,2023-07-25,26.4,81.9,15.94
127,面林,2023-07-26,25.5,88.1,19.4
127,面林,2023-07-27,27.6,77.8,24.79
127,面林,2023-07-28,28.7,76.6,25.48
127,面林,2023-07-29,28.8,76.4,25.85
127,面林,2023-07-30,28.8,75.4,20.86
127,面林,2023-07-31,27.2,81.3,17.27
127,面林,2023-08-01,27.2,82.8,20.73
127,面林,2023-08-02,28.2,78.6,21.64
127,面林,2023-08-03,28,74.1,26.97
127,面林,2023-08-04,28.7,76,22.56
127,面林,2023-08-05,29.3,76.1,22.17
127,面林,2023-08-06,29.1,76.9,18.04
127,面林,2023-08-07,29.3,73.1,22.78
127,面林,2023-08-08,29.1,69.3,22.48
127,面林,2023-08-09,25.7,76.4,9.47
127,面林,2023-08-10,21.7,89.1,2.34
127,面林,2023-08-11,25.3,79.8,17.23
127,面林,2023-08-12,23.9,85.6,7.69
127,面林,2023-08-13,25.9,82,16.79
127,面林,2023-08-14,27.8,75.9,24.47
127,面林,2023-08-15,28,68.4,25.7
127,面林,2023-08-16,26.5,74.8,19.51
127,面林,2023-08-17,26.2,80.9,13.1
127,面林,2023-08-18,27.3,76.4,20.32
127,面林,2023-08-19,28,78,16.79
127,面林,2023-08-20,27.5,78,20.37
127,面林,2023-08-21,28.1,76.9,22.12
127,面林,2023-08-22,27.8,77.5,18.95
127,面林,2023-08-23,26.6,81.3,16.37
127,面林,2023-08-24,25.1,86.4,12.21
127,面林,2023-08-25,26,76.8,17.87
127,面林,2023-08-26,25,77.5,21.6
127,面林,2023-08-27,25.5,74,17.62
127,面林,2023-08-28,26.1,68.9,9.6
127,面林,2023-08-29,26.1,77.4,9.02
127,面林,2023-08-30,21,92.3,2.8
127,面林,2023-08-31,22,82.8,14.85
127,面林,2023-09-01,22.8,77.1,22.97
127,面林,2023-09-02,24.5,73.6,23.36
127,面林,2023-09-03,26,76.6,19.7
127,面林,2023-09-04,26.9,76.1,18.98
127,面林,2023-09-05,25.8,72.9,17.39
127,面林,2023-09-06,25.7,66.6,24
127,面林,2023-09-07,23.1,66,24.45
127,面林,2023-09-08,22.1,70.9,24.15
127,面林,2023-09-09,22.6,75.5,23.37
127,面林,2023-09-10,23.8,74.8,19.54
127,面林,2023-09-11,24.6,75.1,19.26
127,面林,2023-09-12,24.2,77.9,15.47
127,面林,2023-09-13,20.8,89.9,3.95
127,面林,2023-09-14,21.9,85,6.73
